"variable","des","forecast_period","values","date","projection","meeting_month"
"683","March projection","Central tendency2",2019-12-31,NA,2019-06-19,20190619,"juni"
"684","March projection","Central tendency2",2020-12-31,NA,2019-06-19,20190619,"juni"
"685","March projection","Central tendency2",2021-12-31,NA,2019-06-19,20190619,"juni"
"686","March projection","Central tendency2",NA,NA,2019-06-19,20190619,"juni"
"687","March projection","Range3",2019-12-31,NA,2019-06-19,20190619,"juni"
"688","March projection","Range3",2020-12-31,NA,2019-06-19,20190619,"juni"
"689","March projection","Range3",2021-12-31,NA,2019-06-19,20190619,"juni"
"690","March projection","Range3",NA,NA,2019-06-19,20190619,"juni"
"691","Memo: Projected appropriate policy path","Median1",2019-12-31,NA,2019-06-19,20190619,"juni"
"692","Memo: Projected appropriate policy path","Median1",2020-12-31,NA,2019-06-19,20190619,"juni"
"693","Memo: Projected appropriate policy path","Median1",2021-12-31,NA,2019-06-19,20190619,"juni"
"694","Memo: Projected appropriate policy path","Median1",NA,NA,2019-06-19,20190619,"juni"
"695","Memo: Projected appropriate policy path","Central tendency2",2019-12-31,NA,2019-06-19,20190619,"juni"
"696","Memo: Projected appropriate policy path","Central tendency2",2020-12-31,NA,2019-06-19,20190619,"juni"
"697","Memo: Projected appropriate policy path","Central tendency2",2021-12-31,NA,2019-06-19,20190619,"juni"
"698","Memo: Projected appropriate policy path","Central tendency2",NA,NA,2019-06-19,20190619,"juni"
"699","Memo: Projected appropriate policy path","Range3",2019-12-31,NA,2019-06-19,20190619,"juni"
"700","Memo: Projected appropriate policy path","Range3",2020-12-31,NA,2019-06-19,20190619,"juni"
"701","Memo: Projected appropriate policy path","Range3",2021-12-31,NA,2019-06-19,20190619,"juni"
"702","Memo: Projected appropriate policy path","Range3",NA,NA,2019-06-19,20190619,"juni"
"703","Federal funds rate","Median1",2019-12-31,2.4,2019-06-19,20190619,"juni"
"704","Federal funds rate","Median1",2020-12-31,2.1,2019-06-19,20190619,"juni"
"705","Federal funds rate","Median1",2021-12-31,2.4,2019-06-19,20190619,"juni"
"706","Federal funds rate","Median1",NA,2.5,2019-06-19,20190619,"juni"
"707","Federal funds rate","Central tendency2",2019-12-31,NA,2019-06-19,20190619,"juni"
"708","Federal funds rate","Central tendency2",2020-12-31,NA,2019-06-19,20190619,"juni"
"709","Federal funds rate","Central tendency2",2021-12-31,NA,2019-06-19,20190619,"juni"
"710","Federal funds rate","Central tendency2",NA,NA,2019-06-19,20190619,"juni"
"711","Federal funds rate","Range3",2019-12-31,NA,2019-06-19,20190619,"juni"
"712","Federal funds rate","Range3",2020-12-31,NA,2019-06-19,20190619,"juni"
"713","Federal funds rate","Range3",2021-12-31,NA,2019-06-19,20190619,"juni"
"714","Federal funds rate","Range3",NA,NA,2019-06-19,20190619,"juni"
"715","March projection","Median1",2019-12-31,2.4,2019-06-19,20190619,"juni"
"716","March projection","Median1",2020-12-31,2.6,2019-06-19,20190619,"juni"
"717","March projection","Median1",2021-12-31,2.6,2019-06-19,20190619,"juni"
"718","March projection","Median1",NA,2.8,2019-06-19,20190619,"juni"
"719","March projection","Central tendency2",2019-12-31,NA,2019-06-19,20190619,"juni"
"720","March projection","Central tendency2",2020-12-31,NA,2019-06-19,20190619,"juni"
"721","March projection","Central tendency2",2021-12-31,NA,2019-06-19,20190619,"juni"
"722","March projection","Central tendency2",NA,NA,2019-06-19,20190619,"juni"
"723","March projection","Range3",2019-12-31,NA,2019-06-19,20190619,"juni"
"724","March projection","Range3",2020-12-31,NA,2019-06-19,20190619,"juni"
"725","March projection","Range3",2021-12-31,NA,2019-06-19,20190619,"juni"
"726","March projection","Range3",NA,NA,2019-06-19,20190619,"juni"
"727","Change in real GDP","Median 1",2019-12-31,2.2,2019-09-18,20190918,"september"
"728","Change in real GDP","Median 1",2020-12-31,2,2019-09-18,20190918,"september"
"729","Change in real GDP","Median 1",2021-12-31,1.9,2019-09-18,20190918,"september"
"730","Change in real GDP","Median 1",2022-12-31,1.8,2019-09-18,20190918,"september"
"731","Change in real GDP","Median 1",NA,1.9,2019-09-18,20190918,"september"
"732","Change in real GDP","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"733","Change in real GDP","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"734","Change in real GDP","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"735","Change in real GDP","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"736","Change in real GDP","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"737","Change in real GDP","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"738","Change in real GDP","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"739","Change in real GDP","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"740","Change in real GDP","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"741","Change in real GDP","Range 3",NA,NA,2019-09-18,20190918,"september"
"742","June projection","Median 1",2019-12-31,2.1,2019-09-18,20190918,"september"
"743","June projection","Median 1",2020-12-31,2,2019-09-18,20190918,"september"
"744","June projection","Median 1",2021-12-31,1.8,2019-09-18,20190918,"september"
"745","June projection","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"746","June projection","Median 1",NA,1.9,2019-09-18,20190918,"september"
"747","June projection","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"748","June projection","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"749","June projection","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"750","June projection","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"751","June projection","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"752","June projection","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"753","June projection","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"754","June projection","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"755","June projection","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"756","June projection","Range 3",NA,NA,2019-09-18,20190918,"september"
"757","Unemployment rate","Median 1",2019-12-31,3.7,2019-09-18,20190918,"september"
"758","Unemployment rate","Median 1",2020-12-31,3.7,2019-09-18,20190918,"september"
"759","Unemployment rate","Median 1",2021-12-31,3.8,2019-09-18,20190918,"september"
"760","Unemployment rate","Median 1",2022-12-31,3.9,2019-09-18,20190918,"september"
"761","Unemployment rate","Median 1",NA,4.2,2019-09-18,20190918,"september"
"762","Unemployment rate","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"763","Unemployment rate","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"764","Unemployment rate","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"765","Unemployment rate","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"766","Unemployment rate","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"767","Unemployment rate","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"768","Unemployment rate","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"769","Unemployment rate","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"770","Unemployment rate","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"771","Unemployment rate","Range 3",NA,NA,2019-09-18,20190918,"september"
"772","June projection","Median 1",2019-12-31,3.6,2019-09-18,20190918,"september"
"773","June projection","Median 1",2020-12-31,3.7,2019-09-18,20190918,"september"
"774","June projection","Median 1",2021-12-31,3.8,2019-09-18,20190918,"september"
"775","June projection","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"776","June projection","Median 1",NA,4.2,2019-09-18,20190918,"september"
"777","June projection","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"778","June projection","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"779","June projection","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"780","June projection","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"781","June projection","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"782","June projection","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"783","June projection","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"784","June projection","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"785","June projection","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"786","June projection","Range 3",NA,NA,2019-09-18,20190918,"september"
"787","PCE inflation","Median 1",2019-12-31,1.5,2019-09-18,20190918,"september"
"788","PCE inflation","Median 1",2020-12-31,1.9,2019-09-18,20190918,"september"
"789","PCE inflation","Median 1",2021-12-31,2,2019-09-18,20190918,"september"
"790","PCE inflation","Median 1",2022-12-31,2,2019-09-18,20190918,"september"
"791","PCE inflation","Median 1",NA,2,2019-09-18,20190918,"september"
"792","PCE inflation","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"793","PCE inflation","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"794","PCE inflation","Central Tendency 2",2021-12-31,2,2019-09-18,20190918,"september"
"795","PCE inflation","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"796","PCE inflation","Central Tendency 2",NA,2,2019-09-18,20190918,"september"
"797","PCE inflation","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"798","PCE inflation","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"799","PCE inflation","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"800","PCE inflation","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"801","PCE inflation","Range 3",NA,2,2019-09-18,20190918,"september"
"802","June projection","Median 1",2019-12-31,1.5,2019-09-18,20190918,"september"
"803","June projection","Median 1",2020-12-31,1.9,2019-09-18,20190918,"september"
"804","June projection","Median 1",2021-12-31,2,2019-09-18,20190918,"september"
"805","June projection","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"806","June projection","Median 1",NA,2,2019-09-18,20190918,"september"
"807","June projection","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"808","June projection","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"809","June projection","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"810","June projection","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"811","June projection","Central Tendency 2",NA,2,2019-09-18,20190918,"september"
"812","June projection","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"813","June projection","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"814","June projection","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"815","June projection","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"816","June projection","Range 3",NA,2,2019-09-18,20190918,"september"
"817","Core PCE inflation 4","Median 1",2019-12-31,1.8,2019-09-18,20190918,"september"
"818","Core PCE inflation 4","Median 1",2020-12-31,1.9,2019-09-18,20190918,"september"
"819","Core PCE inflation 4","Median 1",2021-12-31,2,2019-09-18,20190918,"september"
"820","Core PCE inflation 4","Median 1",2022-12-31,2,2019-09-18,20190918,"september"
"821","Core PCE inflation 4","Median 1",NA,NA,2019-09-18,20190918,"september"
"822","Core PCE inflation 4","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"823","Core PCE inflation 4","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"824","Core PCE inflation 4","Central Tendency 2",2021-12-31,2,2019-09-18,20190918,"september"
"825","Core PCE inflation 4","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"826","Core PCE inflation 4","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"827","Core PCE inflation 4","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"828","Core PCE inflation 4","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"829","Core PCE inflation 4","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"830","Core PCE inflation 4","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"831","Core PCE inflation 4","Range 3",NA,NA,2019-09-18,20190918,"september"
"832","June projection","Median 1",2019-12-31,1.8,2019-09-18,20190918,"september"
"833","June projection","Median 1",2020-12-31,1.9,2019-09-18,20190918,"september"
"834","June projection","Median 1",2021-12-31,2,2019-09-18,20190918,"september"
"835","June projection","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"836","June projection","Median 1",NA,NA,2019-09-18,20190918,"september"
"837","June projection","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"838","June projection","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"839","June projection","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"840","June projection","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"841","June projection","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"842","June projection","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"843","June projection","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"844","June projection","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"845","June projection","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"846","June projection","Range 3",NA,NA,2019-09-18,20190918,"september"
"847","Memo: Projected appropriate policy path","Median 1",2019-12-31,NA,2019-09-18,20190918,"september"
"848","Memo: Projected appropriate policy path","Median 1",2020-12-31,NA,2019-09-18,20190918,"september"
"849","Memo: Projected appropriate policy path","Median 1",2021-12-31,NA,2019-09-18,20190918,"september"
"850","Memo: Projected appropriate policy path","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"851","Memo: Projected appropriate policy path","Median 1",NA,NA,2019-09-18,20190918,"september"
"852","Memo: Projected appropriate policy path","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"853","Memo: Projected appropriate policy path","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"854","Memo: Projected appropriate policy path","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"855","Memo: Projected appropriate policy path","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"856","Memo: Projected appropriate policy path","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"857","Memo: Projected appropriate policy path","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"858","Memo: Projected appropriate policy path","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"859","Memo: Projected appropriate policy path","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"860","Memo: Projected appropriate policy path","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"861","Memo: Projected appropriate policy path","Range 3",NA,NA,2019-09-18,20190918,"september"
"862","Federal funds rate","Median 1",2019-12-31,1.9,2019-09-18,20190918,"september"
"863","Federal funds rate","Median 1",2020-12-31,1.9,2019-09-18,20190918,"september"
"864","Federal funds rate","Median 1",2021-12-31,2.1,2019-09-18,20190918,"september"
"865","Federal funds rate","Median 1",2022-12-31,2.4,2019-09-18,20190918,"september"
"866","Federal funds rate","Median 1",NA,2.5,2019-09-18,20190918,"september"
"867","Federal funds rate","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"868","Federal funds rate","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"869","Federal funds rate","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"870","Federal funds rate","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"871","Federal funds rate","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"872","Federal funds rate","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"873","Federal funds rate","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"874","Federal funds rate","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"875","Federal funds rate","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"876","Federal funds rate","Range 3",NA,NA,2019-09-18,20190918,"september"
"877","June projection","Median 1",2019-12-31,2.4,2019-09-18,20190918,"september"
"878","June projection","Median 1",2020-12-31,2.1,2019-09-18,20190918,"september"
"879","June projection","Median 1",2021-12-31,2.4,2019-09-18,20190918,"september"
"880","June projection","Median 1",2022-12-31,NA,2019-09-18,20190918,"september"
"881","June projection","Median 1",NA,2.5,2019-09-18,20190918,"september"
"882","June projection","Central Tendency 2",2019-12-31,NA,2019-09-18,20190918,"september"
"883","June projection","Central Tendency 2",2020-12-31,NA,2019-09-18,20190918,"september"
"884","June projection","Central Tendency 2",2021-12-31,NA,2019-09-18,20190918,"september"
"885","June projection","Central Tendency 2",2022-12-31,NA,2019-09-18,20190918,"september"
"886","June projection","Central Tendency 2",NA,NA,2019-09-18,20190918,"september"
"887","June projection","Range 3",2019-12-31,NA,2019-09-18,20190918,"september"
"888","June projection","Range 3",2020-12-31,NA,2019-09-18,20190918,"september"
"889","June projection","Range 3",2021-12-31,NA,2019-09-18,20190918,"september"
"890","June projection","Range 3",2022-12-31,NA,2019-09-18,20190918,"september"
"891","June projection","Range 3",NA,NA,2019-09-18,20190918,"september"
"892","Change in real GDP","Median1",2019-12-31,2.2,2019-12-11,20191211,"december"
"893","Change in real GDP","Median1",2020-12-31,2,2019-12-11,20191211,"december"
"894","Change in real GDP","Median1",2021-12-31,1.9,2019-12-11,20191211,"december"
"895","Change in real GDP","Median1",2022-12-31,1.8,2019-12-11,20191211,"december"
"896","Change in real GDP","Median1",NA,1.9,2019-12-11,20191211,"december"
"897","Change in real GDP","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"898","Change in real GDP","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"899","Change in real GDP","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"900","Change in real GDP","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"901","Change in real GDP","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"902","Change in real GDP","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"903","Change in real GDP","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"904","Change in real GDP","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"905","Change in real GDP","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"906","Change in real GDP","Range3",NA,NA,2019-12-11,20191211,"december"
"907","September projection","Median1",2019-12-31,2.2,2019-12-11,20191211,"december"
"908","September projection","Median1",2020-12-31,2,2019-12-11,20191211,"december"
"909","September projection","Median1",2021-12-31,1.9,2019-12-11,20191211,"december"
"910","September projection","Median1",2022-12-31,1.8,2019-12-11,20191211,"december"
"911","September projection","Median1",NA,1.9,2019-12-11,20191211,"december"
"912","September projection","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"913","September projection","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"914","September projection","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"915","September projection","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"916","September projection","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"917","September projection","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"918","September projection","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"919","September projection","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"920","September projection","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"921","September projection","Range3",NA,NA,2019-12-11,20191211,"december"
"922","Unemployment rate","Median1",2019-12-31,3.6,2019-12-11,20191211,"december"
"923","Unemployment rate","Median1",2020-12-31,3.5,2019-12-11,20191211,"december"
"924","Unemployment rate","Median1",2021-12-31,3.6,2019-12-11,20191211,"december"
"925","Unemployment rate","Median1",2022-12-31,3.7,2019-12-11,20191211,"december"
"926","Unemployment rate","Median1",NA,4.1,2019-12-11,20191211,"december"
"927","Unemployment rate","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"928","Unemployment rate","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"929","Unemployment rate","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"930","Unemployment rate","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"931","Unemployment rate","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"932","Unemployment rate","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"933","Unemployment rate","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"934","Unemployment rate","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"935","Unemployment rate","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"936","Unemployment rate","Range3",NA,NA,2019-12-11,20191211,"december"
"937","September projection","Median1",2019-12-31,3.7,2019-12-11,20191211,"december"
"938","September projection","Median1",2020-12-31,3.7,2019-12-11,20191211,"december"
"939","September projection","Median1",2021-12-31,3.8,2019-12-11,20191211,"december"
"940","September projection","Median1",2022-12-31,3.9,2019-12-11,20191211,"december"
"941","September projection","Median1",NA,4.2,2019-12-11,20191211,"december"
"942","September projection","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"943","September projection","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"944","September projection","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"945","September projection","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"946","September projection","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"947","September projection","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"948","September projection","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"949","September projection","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"950","September projection","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"951","September projection","Range3",NA,NA,2019-12-11,20191211,"december"
"952","PCE inflation","Median1",2019-12-31,1.5,2019-12-11,20191211,"december"
"953","PCE inflation","Median1",2020-12-31,1.9,2019-12-11,20191211,"december"
"954","PCE inflation","Median1",2021-12-31,2,2019-12-11,20191211,"december"
"955","PCE inflation","Median1",2022-12-31,2,2019-12-11,20191211,"december"
"956","PCE inflation","Median1",NA,2,2019-12-11,20191211,"december"
"957","PCE inflation","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"958","PCE inflation","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"959","PCE inflation","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"960","PCE inflation","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"961","PCE inflation","Central Tendency2",NA,2,2019-12-11,20191211,"december"
"962","PCE inflation","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"963","PCE inflation","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"964","PCE inflation","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"965","PCE inflation","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"966","PCE inflation","Range3",NA,2,2019-12-11,20191211,"december"
"967","September projection","Median1",2019-12-31,1.5,2019-12-11,20191211,"december"
"968","September projection","Median1",2020-12-31,1.9,2019-12-11,20191211,"december"
"969","September projection","Median1",2021-12-31,2,2019-12-11,20191211,"december"
"970","September projection","Median1",2022-12-31,2,2019-12-11,20191211,"december"
"971","September projection","Median1",NA,2,2019-12-11,20191211,"december"
"972","September projection","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"973","September projection","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"974","September projection","Central Tendency2",2021-12-31,2,2019-12-11,20191211,"december"
"975","September projection","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"976","September projection","Central Tendency2",NA,2,2019-12-11,20191211,"december"
"977","September projection","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"978","September projection","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"979","September projection","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"980","September projection","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"981","September projection","Range3",NA,2,2019-12-11,20191211,"december"
"982","Core PCE inflation4","Median1",2019-12-31,1.6,2019-12-11,20191211,"december"
"983","Core PCE inflation4","Median1",2020-12-31,1.9,2019-12-11,20191211,"december"
"984","Core PCE inflation4","Median1",2021-12-31,2,2019-12-11,20191211,"december"
"985","Core PCE inflation4","Median1",2022-12-31,2,2019-12-11,20191211,"december"
"986","Core PCE inflation4","Median1",NA,NA,2019-12-11,20191211,"december"
"987","Core PCE inflation4","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"988","Core PCE inflation4","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"989","Core PCE inflation4","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"990","Core PCE inflation4","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"991","Core PCE inflation4","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"992","Core PCE inflation4","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"993","Core PCE inflation4","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"994","Core PCE inflation4","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"995","Core PCE inflation4","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"996","Core PCE inflation4","Range3",NA,NA,2019-12-11,20191211,"december"
"997","September projection","Median1",2019-12-31,1.8,2019-12-11,20191211,"december"
"998","September projection","Median1",2020-12-31,1.9,2019-12-11,20191211,"december"
"999","September projection","Median1",2021-12-31,2,2019-12-11,20191211,"december"
"1000","September projection","Median1",2022-12-31,2,2019-12-11,20191211,"december"
"1001","September projection","Median1",NA,NA,2019-12-11,20191211,"december"
"1002","September projection","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"1003","September projection","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"1004","September projection","Central Tendency2",2021-12-31,2,2019-12-11,20191211,"december"
"1005","September projection","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"1006","September projection","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"1007","September projection","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"1008","September projection","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"1009","September projection","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"1010","September projection","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"1011","September projection","Range3",NA,NA,2019-12-11,20191211,"december"
"1012","Memo: Projected appropriate policy path","Median1",2019-12-31,NA,2019-12-11,20191211,"december"
"1013","Memo: Projected appropriate policy path","Median1",2020-12-31,NA,2019-12-11,20191211,"december"
"1014","Memo: Projected appropriate policy path","Median1",2021-12-31,NA,2019-12-11,20191211,"december"
"1015","Memo: Projected appropriate policy path","Median1",2022-12-31,NA,2019-12-11,20191211,"december"
"1016","Memo: Projected appropriate policy path","Median1",NA,NA,2019-12-11,20191211,"december"
"1017","Memo: Projected appropriate policy path","Central Tendency2",2019-12-31,NA,2019-12-11,20191211,"december"
"1018","Memo: Projected appropriate policy path","Central Tendency2",2020-12-31,NA,2019-12-11,20191211,"december"
"1019","Memo: Projected appropriate policy path","Central Tendency2",2021-12-31,NA,2019-12-11,20191211,"december"
"1020","Memo: Projected appropriate policy path","Central Tendency2",2022-12-31,NA,2019-12-11,20191211,"december"
"1021","Memo: Projected appropriate policy path","Central Tendency2",NA,NA,2019-12-11,20191211,"december"
"1022","Memo: Projected appropriate policy path","Range3",2019-12-31,NA,2019-12-11,20191211,"december"
"1023","Memo: Projected appropriate policy path","Range3",2020-12-31,NA,2019-12-11,20191211,"december"
"1024","Memo: Projected appropriate policy path","Range3",2021-12-31,NA,2019-12-11,20191211,"december"
"1025","Memo: Projected appropriate policy path","Range3",2022-12-31,NA,2019-12-11,20191211,"december"
"1026","Memo: Projected appropriate policy path","Range3",NA,NA,2019-12-11,20191211,"december"
"1027","Federal funds rate","Median1",2019-12-31,1.6,2019-12-11,20191211,"december"
