"variable","des","forecast_period","values","date","projection","meeting_month","projection_year"
"607","June projection","Range3",2020-12-31,"3.3 - 4.0",2019-09-18,20190918,"september","2019"
"608","June projection","Range3",2021-12-31,"3.3 - 4.2",2019-09-18,20190918,"september","2019"
"609","June projection","Range3",2022-12-31,"",2019-09-18,20190918,"september","2019"
"610","PCE inflation","Median1",2019-12-31,"1.5",2019-09-18,20190918,"september","2019"
"611","PCE inflation","Median1",2020-12-31,"1.9",2019-09-18,20190918,"september","2019"
"612","PCE inflation","Median1",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"613","PCE inflation","Median1",2022-12-31,"2.0",2019-09-18,20190918,"september","2019"
"614","PCE inflation","CentralTendency2",2019-12-31,"1.5 - 1.6",2019-09-18,20190918,"september","2019"
"615","PCE inflation","CentralTendency2",2020-12-31,"1.8 - 2.0",2019-09-18,20190918,"september","2019"
"616","PCE inflation","CentralTendency2",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"617","PCE inflation","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-09-18,20190918,"september","2019"
"618","PCE inflation","Range3",2019-12-31,"1.4 - 1.7",2019-09-18,20190918,"september","2019"
"619","PCE inflation","Range3",2020-12-31,"1.7 - 2.1",2019-09-18,20190918,"september","2019"
"620","PCE inflation","Range3",2021-12-31,"1.8 - 2.3",2019-09-18,20190918,"september","2019"
"621","PCE inflation","Range3",2022-12-31,"1.8 - 2.2",2019-09-18,20190918,"september","2019"
"622","June projection","Median1",2019-12-31,"1.5",2019-09-18,20190918,"september","2019"
"623","June projection","Median1",2020-12-31,"1.9",2019-09-18,20190918,"september","2019"
"624","June projection","Median1",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"625","June projection","Median1",2022-12-31,"",2019-09-18,20190918,"september","2019"
"626","June projection","CentralTendency2",2019-12-31,"1.5 - 1.6",2019-09-18,20190918,"september","2019"
"627","June projection","CentralTendency2",2020-12-31,"1.9 - 2.0",2019-09-18,20190918,"september","2019"
"628","June projection","CentralTendency2",2021-12-31,"2.0 - 2.1",2019-09-18,20190918,"september","2019"
"629","June projection","CentralTendency2",2022-12-31,"",2019-09-18,20190918,"september","2019"
"630","June projection","Range3",2019-12-31,"1.4 - 1.7",2019-09-18,20190918,"september","2019"
"631","June projection","Range3",2020-12-31,"1.8 - 2.1",2019-09-18,20190918,"september","2019"
"632","June projection","Range3",2021-12-31,"1.9 - 2.2",2019-09-18,20190918,"september","2019"
"633","June projection","Range3",2022-12-31,"",2019-09-18,20190918,"september","2019"
"634","Core PCE inflation 4","Median1",2019-12-31,"1.8",2019-09-18,20190918,"september","2019"
"635","Core PCE inflation 4","Median1",2020-12-31,"1.9",2019-09-18,20190918,"september","2019"
"636","Core PCE inflation 4","Median1",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"637","Core PCE inflation 4","Median1",2022-12-31,"2.0",2019-09-18,20190918,"september","2019"
"638","Core PCE inflation 4","CentralTendency2",2019-12-31,"1.7 - 1.8",2019-09-18,20190918,"september","2019"
"639","Core PCE inflation 4","CentralTendency2",2020-12-31,"1.9 - 2.0",2019-09-18,20190918,"september","2019"
"640","Core PCE inflation 4","CentralTendency2",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"641","Core PCE inflation 4","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-09-18,20190918,"september","2019"
"642","Core PCE inflation 4","Range3",2019-12-31,"1.6 - 1.8",2019-09-18,20190918,"september","2019"
"643","Core PCE inflation 4","Range3",2020-12-31,"1.7 - 2.1",2019-09-18,20190918,"september","2019"
"644","Core PCE inflation 4","Range3",2021-12-31,"1.8 - 2.3",2019-09-18,20190918,"september","2019"
"645","Core PCE inflation 4","Range3",2022-12-31,"1.8 - 2.2",2019-09-18,20190918,"september","2019"
"646","June projection","Median1",2019-12-31,"1.8",2019-09-18,20190918,"september","2019"
"647","June projection","Median1",2020-12-31,"1.9",2019-09-18,20190918,"september","2019"
"648","June projection","Median1",2021-12-31,"2.0",2019-09-18,20190918,"september","2019"
"649","June projection","Median1",2022-12-31,"",2019-09-18,20190918,"september","2019"
"650","June projection","CentralTendency2",2019-12-31,"1.7 - 1.8",2019-09-18,20190918,"september","2019"
"651","June projection","CentralTendency2",2020-12-31,"1.9 - 2.0",2019-09-18,20190918,"september","2019"
"652","June projection","CentralTendency2",2021-12-31,"2.0 - 2.1",2019-09-18,20190918,"september","2019"
"653","June projection","CentralTendency2",2022-12-31,"",2019-09-18,20190918,"september","2019"
"654","June projection","Range3",2019-12-31,"1.4 - 1.8",2019-09-18,20190918,"september","2019"
"655","June projection","Range3",2020-12-31,"1.8 - 2.1",2019-09-18,20190918,"september","2019"
"656","June projection","Range3",2021-12-31,"1.8 - 2.2",2019-09-18,20190918,"september","2019"
"657","June projection","Range3",2022-12-31,"",2019-09-18,20190918,"september","2019"
"658","Memo: Projected appropriate policy path","Median1",2019-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"659","Memo: Projected appropriate policy path","Median1",2020-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"660","Memo: Projected appropriate policy path","Median1",2021-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"661","Memo: Projected appropriate policy path","Median1",2022-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"662","Memo: Projected appropriate policy path","CentralTendency2",2019-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"663","Memo: Projected appropriate policy path","CentralTendency2",2020-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"664","Memo: Projected appropriate policy path","CentralTendency2",2021-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"665","Memo: Projected appropriate policy path","CentralTendency2",2022-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"666","Memo: Projected appropriate policy path","Range3",2019-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"667","Memo: Projected appropriate policy path","Range3",2020-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"668","Memo: Projected appropriate policy path","Range3",2021-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"669","Memo: Projected appropriate policy path","Range3",2022-12-31,"Memo: Projected appropriate policy path",2019-09-18,20190918,"september","2019"
"670","Federal funds rate","Median1",2019-12-31,"1.9",2019-09-18,20190918,"september","2019"
"671","Federal funds rate","Median1",2020-12-31,"1.9",2019-09-18,20190918,"september","2019"
"672","Federal funds rate","Median1",2021-12-31,"2.1",2019-09-18,20190918,"september","2019"
"673","Federal funds rate","Median1",2022-12-31,"2.4",2019-09-18,20190918,"september","2019"
"674","Federal funds rate","CentralTendency2",2019-12-31,"1.6 - 2.1",2019-09-18,20190918,"september","2019"
"675","Federal funds rate","CentralTendency2",2020-12-31,"1.6 - 2.1",2019-09-18,20190918,"september","2019"
"676","Federal funds rate","CentralTendency2",2021-12-31,"1.6 - 2.4",2019-09-18,20190918,"september","2019"
"677","Federal funds rate","CentralTendency2",2022-12-31,"1.9 - 2.6",2019-09-18,20190918,"september","2019"
"678","Federal funds rate","Range3",2019-12-31,"1.6 - 2.1",2019-09-18,20190918,"september","2019"
"679","Federal funds rate","Range3",2020-12-31,"1.6 - 2.4",2019-09-18,20190918,"september","2019"
"680","Federal funds rate","Range3",2021-12-31,"1.6 - 2.6",2019-09-18,20190918,"september","2019"
"681","Federal funds rate","Range3",2022-12-31,"1.6 - 2.9",2019-09-18,20190918,"september","2019"
"682","June projection","Median1",2019-12-31,"2.4",2019-09-18,20190918,"september","2019"
"683","June projection","Median1",2020-12-31,"2.1",2019-09-18,20190918,"september","2019"
"684","June projection","Median1",2021-12-31,"2.4",2019-09-18,20190918,"september","2019"
"685","June projection","Median1",2022-12-31,"",2019-09-18,20190918,"september","2019"
"686","June projection","CentralTendency2",2019-12-31,"1.9 - 2.4",2019-09-18,20190918,"september","2019"
"687","June projection","CentralTendency2",2020-12-31,"1.9 - 2.4",2019-09-18,20190918,"september","2019"
"688","June projection","CentralTendency2",2021-12-31,"1.9 - 2.6",2019-09-18,20190918,"september","2019"
"689","June projection","CentralTendency2",2022-12-31,"",2019-09-18,20190918,"september","2019"
"690","June projection","Range3",2019-12-31,"1.9 - 2.6",2019-09-18,20190918,"september","2019"
"691","June projection","Range3",2020-12-31,"1.9 - 3.1",2019-09-18,20190918,"september","2019"
"692","June projection","Range3",2021-12-31,"1.9 - 3.1",2019-09-18,20190918,"september","2019"
"693","June projection","Range3",2022-12-31,"",2019-09-18,20190918,"september","2019"
"694","Change in real GDP","Median1",2019-12-31,"2.2",2019-12-11,20191211,"december","2019"
"695","Change in real GDP","Median1",2020-12-31,"2.0",2019-12-11,20191211,"december","2019"
"696","Change in real GDP","Median1",2021-12-31,"1.9",2019-12-11,20191211,"december","2019"
"697","Change in real GDP","Median1",2022-12-31,"1.8",2019-12-11,20191211,"december","2019"
"698","Change in real GDP","CentralTendency2",2019-12-31,"2.1 - 2.2",2019-12-11,20191211,"december","2019"
"699","Change in real GDP","CentralTendency2",2020-12-31,"2.0 - 2.2",2019-12-11,20191211,"december","2019"
"700","Change in real GDP","CentralTendency2",2021-12-31,"1.8 - 2.0",2019-12-11,20191211,"december","2019"
"701","Change in real GDP","CentralTendency2",2022-12-31,"1.8 - 2.0",2019-12-11,20191211,"december","2019"
"702","Change in real GDP","Range3",2019-12-31,"2.1 - 2.3",2019-12-11,20191211,"december","2019"
"703","Change in real GDP","Range3",2020-12-31,"1.8 - 2.3",2019-12-11,20191211,"december","2019"
"704","Change in real GDP","Range3",2021-12-31,"1.7 - 2.2",2019-12-11,20191211,"december","2019"
"705","Change in real GDP","Range3",2022-12-31,"1.5 - 2.2",2019-12-11,20191211,"december","2019"
"706","September projection","Median1",2019-12-31,"2.2",2019-12-11,20191211,"december","2019"
"707","September projection","Median1",2020-12-31,"2.0",2019-12-11,20191211,"december","2019"
"708","September projection","Median1",2021-12-31,"1.9",2019-12-11,20191211,"december","2019"
"709","September projection","Median1",2022-12-31,"1.8",2019-12-11,20191211,"december","2019"
"710","September projection","CentralTendency2",2019-12-31,"2.1 - 2.3",2019-12-11,20191211,"december","2019"
"711","September projection","CentralTendency2",2020-12-31,"1.8 - 2.1",2019-12-11,20191211,"december","2019"
"712","September projection","CentralTendency2",2021-12-31,"1.8 - 2.0",2019-12-11,20191211,"december","2019"
"713","September projection","CentralTendency2",2022-12-31,"1.7 - 2.0",2019-12-11,20191211,"december","2019"
"714","September projection","Range3",2019-12-31,"2.1 - 2.4",2019-12-11,20191211,"december","2019"
"715","September projection","Range3",2020-12-31,"1.7 - 2.3",2019-12-11,20191211,"december","2019"
"716","September projection","Range3",2021-12-31,"1.7 - 2.1",2019-12-11,20191211,"december","2019"
"717","September projection","Range3",2022-12-31,"1.6 - 2.1",2019-12-11,20191211,"december","2019"
"718","Unemployment rate","Median1",2019-12-31,"3.6",2019-12-11,20191211,"december","2019"
"719","Unemployment rate","Median1",2020-12-31,"3.5",2019-12-11,20191211,"december","2019"
"720","Unemployment rate","Median1",2021-12-31,"3.6",2019-12-11,20191211,"december","2019"
"721","Unemployment rate","Median1",2022-12-31,"3.7",2019-12-11,20191211,"december","2019"
"722","Unemployment rate","CentralTendency2",2019-12-31,"3.5 - 3.6",2019-12-11,20191211,"december","2019"
"723","Unemployment rate","CentralTendency2",2020-12-31,"3.5 - 3.7",2019-12-11,20191211,"december","2019"
"724","Unemployment rate","CentralTendency2",2021-12-31,"3.5 - 3.9",2019-12-11,20191211,"december","2019"
"725","Unemployment rate","CentralTendency2",2022-12-31,"3.5 - 4.0",2019-12-11,20191211,"december","2019"
"726","Unemployment rate","Range3",2019-12-31,"3.5 - 3.6",2019-12-11,20191211,"december","2019"
"727","Unemployment rate","Range3",2020-12-31,"3.3 - 3.8",2019-12-11,20191211,"december","2019"
"728","Unemployment rate","Range3",2021-12-31,"3.3 - 4.0",2019-12-11,20191211,"december","2019"
"729","Unemployment rate","Range3",2022-12-31,"3.3 - 4.1",2019-12-11,20191211,"december","2019"
"730","September projection","Median1",2019-12-31,"3.7",2019-12-11,20191211,"december","2019"
"731","September projection","Median1",2020-12-31,"3.7",2019-12-11,20191211,"december","2019"
"732","September projection","Median1",2021-12-31,"3.8",2019-12-11,20191211,"december","2019"
"733","September projection","Median1",2022-12-31,"3.9",2019-12-11,20191211,"december","2019"
"734","September projection","CentralTendency2",2019-12-31,"3.6 - 3.7",2019-12-11,20191211,"december","2019"
"735","September projection","CentralTendency2",2020-12-31,"3.6 - 3.8",2019-12-11,20191211,"december","2019"
"736","September projection","CentralTendency2",2021-12-31,"3.6 - 3.9",2019-12-11,20191211,"december","2019"
"737","September projection","CentralTendency2",2022-12-31,"3.7 - 4.0",2019-12-11,20191211,"december","2019"
"738","September projection","Range3",2019-12-31,"3.5 - 3.8",2019-12-11,20191211,"december","2019"
"739","September projection","Range3",2020-12-31,"3.3 - 4.0",2019-12-11,20191211,"december","2019"
"740","September projection","Range3",2021-12-31,"3.3 - 4.1",2019-12-11,20191211,"december","2019"
"741","September projection","Range3",2022-12-31,"3.3 - 4.2",2019-12-11,20191211,"december","2019"
"742","PCE inflation","Median1",2019-12-31,"1.5",2019-12-11,20191211,"december","2019"
"743","PCE inflation","Median1",2020-12-31,"1.9",2019-12-11,20191211,"december","2019"
"744","PCE inflation","Median1",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"745","PCE inflation","Median1",2022-12-31,"2.0",2019-12-11,20191211,"december","2019"
"746","PCE inflation","CentralTendency2",2019-12-31,"1.4 - 1.5",2019-12-11,20191211,"december","2019"
"747","PCE inflation","CentralTendency2",2020-12-31,"1.8 - 1.9",2019-12-11,20191211,"december","2019"
"748","PCE inflation","CentralTendency2",2021-12-31,"2.0 - 2.1",2019-12-11,20191211,"december","2019"
"749","PCE inflation","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-12-11,20191211,"december","2019"
"750","PCE inflation","Range3",2019-12-31,"1.4 - 1.7",2019-12-11,20191211,"december","2019"
"751","PCE inflation","Range3",2020-12-31,"1.7 - 2.1",2019-12-11,20191211,"december","2019"
"752","PCE inflation","Range3",2021-12-31,"1.8 - 2.3",2019-12-11,20191211,"december","2019"
"753","PCE inflation","Range3",2022-12-31,"1.8 - 2.2",2019-12-11,20191211,"december","2019"
"754","September projection","Median1",2019-12-31,"1.5",2019-12-11,20191211,"december","2019"
"755","September projection","Median1",2020-12-31,"1.9",2019-12-11,20191211,"december","2019"
"756","September projection","Median1",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"757","September projection","Median1",2022-12-31,"2.0",2019-12-11,20191211,"december","2019"
"758","September projection","CentralTendency2",2019-12-31,"1.5 - 1.6",2019-12-11,20191211,"december","2019"
"759","September projection","CentralTendency2",2020-12-31,"1.8 - 2.0",2019-12-11,20191211,"december","2019"
"760","September projection","CentralTendency2",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"761","September projection","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-12-11,20191211,"december","2019"
"762","September projection","Range3",2019-12-31,"1.4 - 1.7",2019-12-11,20191211,"december","2019"
"763","September projection","Range3",2020-12-31,"1.7 - 2.1",2019-12-11,20191211,"december","2019"
"764","September projection","Range3",2021-12-31,"1.8 - 2.3",2019-12-11,20191211,"december","2019"
"765","September projection","Range3",2022-12-31,"1.8 - 2.2",2019-12-11,20191211,"december","2019"
"766","Core PCE inflation4","Median1",2019-12-31,"1.6",2019-12-11,20191211,"december","2019"
"767","Core PCE inflation4","Median1",2020-12-31,"1.9",2019-12-11,20191211,"december","2019"
"768","Core PCE inflation4","Median1",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"769","Core PCE inflation4","Median1",2022-12-31,"2.0",2019-12-11,20191211,"december","2019"
"770","Core PCE inflation4","CentralTendency2",2019-12-31,"1.6 - 1.7",2019-12-11,20191211,"december","2019"
"771","Core PCE inflation4","CentralTendency2",2020-12-31,"1.9 - 2.0",2019-12-11,20191211,"december","2019"
"772","Core PCE inflation4","CentralTendency2",2021-12-31,"2.0 - 2.1",2019-12-11,20191211,"december","2019"
"773","Core PCE inflation4","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-12-11,20191211,"december","2019"
"774","Core PCE inflation4","Range3",2019-12-31,"1.6 - 1.8",2019-12-11,20191211,"december","2019"
"775","Core PCE inflation4","Range3",2020-12-31,"1.7 - 2.1",2019-12-11,20191211,"december","2019"
"776","Core PCE inflation4","Range3",2021-12-31,"1.8 - 2.3",2019-12-11,20191211,"december","2019"
"777","Core PCE inflation4","Range3",2022-12-31,"1.8 - 2.2",2019-12-11,20191211,"december","2019"
"778","September projection","Median1",2019-12-31,"1.8",2019-12-11,20191211,"december","2019"
"779","September projection","Median1",2020-12-31,"1.9",2019-12-11,20191211,"december","2019"
"780","September projection","Median1",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"781","September projection","Median1",2022-12-31,"2.0",2019-12-11,20191211,"december","2019"
"782","September projection","CentralTendency2",2019-12-31,"1.7 - 1.8",2019-12-11,20191211,"december","2019"
"783","September projection","CentralTendency2",2020-12-31,"1.9 - 2.0",2019-12-11,20191211,"december","2019"
"784","September projection","CentralTendency2",2021-12-31,"2.0",2019-12-11,20191211,"december","2019"
"785","September projection","CentralTendency2",2022-12-31,"2.0 - 2.2",2019-12-11,20191211,"december","2019"
"786","September projection","Range3",2019-12-31,"1.6 - 1.8",2019-12-11,20191211,"december","2019"
"787","September projection","Range3",2020-12-31,"1.7 - 2.1",2019-12-11,20191211,"december","2019"
"788","September projection","Range3",2021-12-31,"1.8 - 2.3",2019-12-11,20191211,"december","2019"
"789","September projection","Range3",2022-12-31,"1.8 - 2.2",2019-12-11,20191211,"december","2019"
"790","Memo: Projected appropriate policy path","Median1",2019-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"791","Memo: Projected appropriate policy path","Median1",2020-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"792","Memo: Projected appropriate policy path","Median1",2021-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"793","Memo: Projected appropriate policy path","Median1",2022-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"794","Memo: Projected appropriate policy path","CentralTendency2",2019-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"795","Memo: Projected appropriate policy path","CentralTendency2",2020-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"796","Memo: Projected appropriate policy path","CentralTendency2",2021-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"797","Memo: Projected appropriate policy path","CentralTendency2",2022-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"798","Memo: Projected appropriate policy path","Range3",2019-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"799","Memo: Projected appropriate policy path","Range3",2020-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"800","Memo: Projected appropriate policy path","Range3",2021-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"801","Memo: Projected appropriate policy path","Range3",2022-12-31,"Memo: Projected appropriate policy path",2019-12-11,20191211,"december","2019"
"802","Federal funds rate","Median1",2019-12-31,"1.6",2019-12-11,20191211,"december","2019"
"803","Federal funds rate","Median1",2020-12-31,"1.6",2019-12-11,20191211,"december","2019"
"804","Federal funds rate","Median1",2021-12-31,"1.9",2019-12-11,20191211,"december","2019"
"805","Federal funds rate","Median1",2022-12-31,"2.1",2019-12-11,20191211,"december","2019"
"806","Federal funds rate","CentralTendency2",2019-12-31,"1.6",2019-12-11,20191211,"december","2019"
"807","Federal funds rate","CentralTendency2",2020-12-31,"1.6 - 1.9",2019-12-11,20191211,"december","2019"
"808","Federal funds rate","CentralTendency2",2021-12-31,"1.6 - 2.1",2019-12-11,20191211,"december","2019"
"809","Federal funds rate","CentralTendency2",2022-12-31,"1.9 - 2.6",2019-12-11,20191211,"december","2019"
"810","Federal funds rate","Range3",2019-12-31,"1.6",2019-12-11,20191211,"december","2019"
"811","Federal funds rate","Range3",2020-12-31,"1.6 - 1.9",2019-12-11,20191211,"december","2019"
"812","Federal funds rate","Range3",2021-12-31,"1.6 - 2.4",2019-12-11,20191211,"december","2019"
"813","Federal funds rate","Range3",2022-12-31,"1.6 - 2.9",2019-12-11,20191211,"december","2019"
"814","September projection","Median1",2019-12-31,"1.9",2019-12-11,20191211,"december","2019"
"815","September projection","Median1",2020-12-31,"1.9",2019-12-11,20191211,"december","2019"
"816","September projection","Median1",2021-12-31,"2.1",2019-12-11,20191211,"december","2019"
"817","September projection","Median1",2022-12-31,"2.4",2019-12-11,20191211,"december","2019"
"818","September projection","CentralTendency2",2019-12-31,"1.6 - 2.1",2019-12-11,20191211,"december","2019"
"819","September projection","CentralTendency2",2020-12-31,"1.6 - 2.1",2019-12-11,20191211,"december","2019"
"820","September projection","CentralTendency2",2021-12-31,"1.6 - 2.4",2019-12-11,20191211,"december","2019"
"821","September projection","CentralTendency2",2022-12-31,"1.9 - 2.6",2019-12-11,20191211,"december","2019"
"822","September projection","Range3",2019-12-31,"1.6 - 2.1",2019-12-11,20191211,"december","2019"
"823","September projection","Range3",2020-12-31,"1.6 - 2.4",2019-12-11,20191211,"december","2019"
"824","September projection","Range3",2021-12-31,"1.6 - 2.6",2019-12-11,20191211,"december","2019"
"825","September projection","Range3",2022-12-31,"1.6 - 2.9",2019-12-11,20191211,"december","2019"
"826","Change in real GDP","Median1",2018-12-31,"2.7",2018-03-21,20180321,"mars","2018"
"827","Change in real GDP","Median1",2019-12-31,"2.4",2018-03-21,20180321,"mars","2018"
"828","Change in real GDP","Median1",2020-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"829","Change in real GDP","Centraltendency2",2018-12-31,"2.6 - 3.0",2018-03-21,20180321,"mars","2018"
"830","Change in real GDP","Centraltendency2",2019-12-31,"2.2 - 2.6",2018-03-21,20180321,"mars","2018"
"831","Change in real GDP","Centraltendency2",2020-12-31,"1.8 - 2.1",2018-03-21,20180321,"mars","2018"
"832","Change in real GDP","Range3",2018-12-31,"2.5 - 3.0",2018-03-21,20180321,"mars","2018"
"833","Change in real GDP","Range3",2019-12-31,"2.0 - 2.8",2018-03-21,20180321,"mars","2018"
"834","Change in real GDP","Range3",2020-12-31,"1.5 - 2.3",2018-03-21,20180321,"mars","2018"
"835","December projection","Median1",2018-12-31,"2.5",2018-03-21,20180321,"mars","2018"
"836","December projection","Median1",2019-12-31,"2.1",2018-03-21,20180321,"mars","2018"
"837","December projection","Median1",2020-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"838","December projection","Centraltendency2",2018-12-31,"2.2 - 2.6",2018-03-21,20180321,"mars","2018"
"839","December projection","Centraltendency2",2019-12-31,"1.9 - 2.3",2018-03-21,20180321,"mars","2018"
"840","December projection","Centraltendency2",2020-12-31,"1.7 - 2.0",2018-03-21,20180321,"mars","2018"
"841","December projection","Range3",2018-12-31,"2.2 - 2.8",2018-03-21,20180321,"mars","2018"
"842","December projection","Range3",2019-12-31,"1.7 - 2.4",2018-03-21,20180321,"mars","2018"
"843","December projection","Range3",2020-12-31,"1.1 - 2.2",2018-03-21,20180321,"mars","2018"
"844","Unemployment rate","Median1",2018-12-31,"3.8",2018-03-21,20180321,"mars","2018"
"845","Unemployment rate","Median1",2019-12-31,"3.6",2018-03-21,20180321,"mars","2018"
"846","Unemployment rate","Median1",2020-12-31,"3.6",2018-03-21,20180321,"mars","2018"
"847","Unemployment rate","Centraltendency2",2018-12-31,"3.6 - 3.8",2018-03-21,20180321,"mars","2018"
"848","Unemployment rate","Centraltendency2",2019-12-31,"3.4 - 3.7",2018-03-21,20180321,"mars","2018"
"849","Unemployment rate","Centraltendency2",2020-12-31,"3.5 - 3.8",2018-03-21,20180321,"mars","2018"
"850","Unemployment rate","Range3",2018-12-31,"3.6 - 4.0",2018-03-21,20180321,"mars","2018"
"851","Unemployment rate","Range3",2019-12-31,"3.3 - 4.2",2018-03-21,20180321,"mars","2018"
"852","Unemployment rate","Range3",2020-12-31,"3.3 - 4.4",2018-03-21,20180321,"mars","2018"
"853","December projection","Median1",2018-12-31,"3.9",2018-03-21,20180321,"mars","2018"
"854","December projection","Median1",2019-12-31,"3.9",2018-03-21,20180321,"mars","2018"
"855","December projection","Median1",2020-12-31,"4.0",2018-03-21,20180321,"mars","2018"
"856","December projection","Centraltendency2",2018-12-31,"3.7 - 4.0",2018-03-21,20180321,"mars","2018"
"857","December projection","Centraltendency2",2019-12-31,"3.6 - 4.0",2018-03-21,20180321,"mars","2018"
"858","December projection","Centraltendency2",2020-12-31,"3.6 - 4.2",2018-03-21,20180321,"mars","2018"
"859","December projection","Range3",2018-12-31,"3.6 - 4.0",2018-03-21,20180321,"mars","2018"
"860","December projection","Range3",2019-12-31,"3.5 - 4.2",2018-03-21,20180321,"mars","2018"
"861","December projection","Range3",2020-12-31,"3.5 - 4.5",2018-03-21,20180321,"mars","2018"
"862","PCE inflation","Median1",2018-12-31,"1.9",2018-03-21,20180321,"mars","2018"
"863","PCE inflation","Median1",2019-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"864","PCE inflation","Median1",2020-12-31,"2.1",2018-03-21,20180321,"mars","2018"
"865","PCE inflation","Centraltendency2",2018-12-31,"1.8 - 2.0",2018-03-21,20180321,"mars","2018"
"866","PCE inflation","Centraltendency2",2019-12-31,"2.0 - 2.2",2018-03-21,20180321,"mars","2018"
"867","PCE inflation","Centraltendency2",2020-12-31,"2.1 - 2.2",2018-03-21,20180321,"mars","2018"
"868","PCE inflation","Range3",2018-12-31,"1.8 - 2.1",2018-03-21,20180321,"mars","2018"
"869","PCE inflation","Range3",2019-12-31,"1.9 - 2.3",2018-03-21,20180321,"mars","2018"
"870","PCE inflation","Range3",2020-12-31,"2.0 - 2.3",2018-03-21,20180321,"mars","2018"
"871","December projection","Median1",2018-12-31,"1.9",2018-03-21,20180321,"mars","2018"
"872","December projection","Median1",2019-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"873","December projection","Median1",2020-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"874","December projection","Centraltendency2",2018-12-31,"1.7 - 1.9",2018-03-21,20180321,"mars","2018"
"875","December projection","Centraltendency2",2019-12-31,"2.0",2018-03-21,20180321,"mars","2018"
"876","December projection","Centraltendency2",2020-12-31,"2.0 - 2.1",2018-03-21,20180321,"mars","2018"
"877","December projection","Range3",2018-12-31,"1.7 - 2.1",2018-03-21,20180321,"mars","2018"
"878","December projection","Range3",2019-12-31,"1.8 - 2.3",2018-03-21,20180321,"mars","2018"
"879","December projection","Range3",2020-12-31,"1.9 - 2.2",2018-03-21,20180321,"mars","2018"
"880","Core PCE inflation4","Median1",2018-12-31,"1.9",2018-03-21,20180321,"mars","2018"
"881","Core PCE inflation4","Median1",2019-12-31,"2.1",2018-03-21,20180321,"mars","2018"
"882","Core PCE inflation4","Median1",2020-12-31,"2.1",2018-03-21,20180321,"mars","2018"
"883","Core PCE inflation4","Centraltendency2",2018-12-31,"1.8 - 2.0",2018-03-21,20180321,"mars","2018"
"884","Core PCE inflation4","Centraltendency2",2019-12-31,"2.0 - 2.2",2018-03-21,20180321,"mars","2018"
"885","Core PCE inflation4","Centraltendency2",2020-12-31,"2.1 - 2.2",2018-03-21,20180321,"mars","2018"
"886","Core PCE inflation4","Range3",2018-12-31,"1.8 - 2.1",2018-03-21,20180321,"mars","2018"
"887","Core PCE inflation4","Range3",2019-12-31,"1.9 - 2.3",2018-03-21,20180321,"mars","2018"
