"date","LineDescription","rate"
"1554",2012-10-07,"PCE excluding food and energy",1.72
"1555",2012-10-07,"Gross domestic product (GDP)",2.5
"1556",2012-10-08,"Unemployment rate",7.8
"1557",2012-10-08,"Federal funds rate",0.12
"1558",2012-10-08,"Personal consumption expenditures (PCE)",1.7
"1559",2012-10-08,"PCE excluding food and energy",1.72
"1560",2012-10-08,"Gross domestic product (GDP)",2.5
"1561",2012-10-09,"Unemployment rate",7.8
"1562",2012-10-09,"Federal funds rate",0.12
"1563",2012-10-09,"Personal consumption expenditures (PCE)",1.7
"1564",2012-10-09,"PCE excluding food and energy",1.72
"1565",2012-10-09,"Gross domestic product (GDP)",2.5
"1566",2012-10-10,"Unemployment rate",7.8
"1567",2012-10-10,"Federal funds rate",0.12
"1568",2012-10-10,"Personal consumption expenditures (PCE)",1.7
"1569",2012-10-10,"PCE excluding food and energy",1.72
"1570",2012-10-10,"Gross domestic product (GDP)",2.5
"1571",2012-10-11,"Unemployment rate",7.8
"1572",2012-10-11,"Federal funds rate",0.12
"1573",2012-10-11,"Personal consumption expenditures (PCE)",1.7
"1574",2012-10-11,"PCE excluding food and energy",1.72
"1575",2012-10-11,"Gross domestic product (GDP)",2.5
"1576",2012-10-12,"Unemployment rate",7.8
"1577",2012-10-12,"Federal funds rate",0.12
"1578",2012-10-12,"Personal consumption expenditures (PCE)",1.7
"1579",2012-10-12,"PCE excluding food and energy",1.72
"1580",2012-10-12,"Gross domestic product (GDP)",2.5
"1581",2012-10-13,"Unemployment rate",7.8
"1582",2012-10-13,"Federal funds rate",0.12
"1583",2012-10-13,"Personal consumption expenditures (PCE)",1.7
"1584",2012-10-13,"PCE excluding food and energy",1.72
"1585",2012-10-13,"Gross domestic product (GDP)",2.5
"1586",2012-10-14,"Unemployment rate",7.8
"1587",2012-10-14,"Federal funds rate",0.12
"1588",2012-10-14,"Personal consumption expenditures (PCE)",1.7
"1589",2012-10-14,"PCE excluding food and energy",1.72
"1590",2012-10-14,"Gross domestic product (GDP)",2.5
"1591",2012-10-15,"Unemployment rate",7.8
"1592",2012-10-15,"Federal funds rate",0.12
"1593",2012-10-15,"Personal consumption expenditures (PCE)",1.7
"1594",2012-10-15,"PCE excluding food and energy",1.72
"1595",2012-10-15,"Gross domestic product (GDP)",2.5
"1596",2012-10-16,"Unemployment rate",7.8
"1597",2012-10-16,"Federal funds rate",0.12
"1598",2012-10-16,"Personal consumption expenditures (PCE)",1.7
"1599",2012-10-16,"PCE excluding food and energy",1.72
"1600",2012-10-16,"Gross domestic product (GDP)",2.5
"1601",2012-10-17,"Unemployment rate",7.8
"1602",2012-10-17,"Federal funds rate",0.12
"1603",2012-10-17,"Personal consumption expenditures (PCE)",1.7
"1604",2012-10-17,"PCE excluding food and energy",1.72
"1605",2012-10-17,"Gross domestic product (GDP)",2.5
"1606",2012-10-18,"Unemployment rate",7.8
"1607",2012-10-18,"Federal funds rate",0.12
"1608",2012-10-18,"Personal consumption expenditures (PCE)",1.7
"1609",2012-10-18,"PCE excluding food and energy",1.72
"1610",2012-10-18,"Gross domestic product (GDP)",2.5
"1611",2012-10-19,"Unemployment rate",7.8
"1612",2012-10-19,"Federal funds rate",0.12
"1613",2012-10-19,"Personal consumption expenditures (PCE)",1.7
"1614",2012-10-19,"PCE excluding food and energy",1.72
"1615",2012-10-19,"Gross domestic product (GDP)",2.5
"1616",2012-10-20,"Unemployment rate",7.8
"1617",2012-10-20,"Federal funds rate",0.12
"1618",2012-10-20,"Personal consumption expenditures (PCE)",1.7
"1619",2012-10-20,"PCE excluding food and energy",1.72
"1620",2012-10-20,"Gross domestic product (GDP)",2.5
"1621",2012-10-21,"Unemployment rate",7.8
"1622",2012-10-21,"Federal funds rate",0.12
"1623",2012-10-21,"Personal consumption expenditures (PCE)",1.7
"1624",2012-10-21,"PCE excluding food and energy",1.72
"1625",2012-10-21,"Gross domestic product (GDP)",2.5
"1626",2012-10-22,"Unemployment rate",7.8
"1627",2012-10-22,"Federal funds rate",0.12
"1628",2012-10-22,"Personal consumption expenditures (PCE)",1.7
"1629",2012-10-22,"PCE excluding food and energy",1.72
"1630",2012-10-22,"Gross domestic product (GDP)",2.5
"1631",2012-10-23,"Unemployment rate",7.8
"1632",2012-10-23,"Federal funds rate",0.12
"1633",2012-10-23,"Personal consumption expenditures (PCE)",1.7
"1634",2012-10-23,"PCE excluding food and energy",1.72
"1635",2012-10-23,"Gross domestic product (GDP)",2.5
"1636",2012-10-24,"Unemployment rate",7.8
"1637",2012-10-24,"Federal funds rate",0.12
"1638",2012-10-24,"Personal consumption expenditures (PCE)",1.7
"1639",2012-10-24,"PCE excluding food and energy",1.72
"1640",2012-10-24,"Gross domestic product (GDP)",2.5
"1641",2012-10-25,"Unemployment rate",7.8
"1642",2012-10-25,"Federal funds rate",0.12
"1643",2012-10-25,"Personal consumption expenditures (PCE)",1.7
"1644",2012-10-25,"PCE excluding food and energy",1.72
"1645",2012-10-25,"Gross domestic product (GDP)",2.5
"1646",2012-10-26,"Unemployment rate",7.8
"1647",2012-10-26,"Federal funds rate",0.12
"1648",2012-10-26,"Personal consumption expenditures (PCE)",1.7
"1649",2012-10-26,"PCE excluding food and energy",1.72
"1650",2012-10-26,"Gross domestic product (GDP)",2.5
"1651",2012-10-27,"Unemployment rate",7.8
"1652",2012-10-27,"Federal funds rate",0.12
"1653",2012-10-27,"Personal consumption expenditures (PCE)",1.7
"1654",2012-10-27,"PCE excluding food and energy",1.72
"1655",2012-10-27,"Gross domestic product (GDP)",2.5
"1656",2012-10-28,"Unemployment rate",7.8
"1657",2012-10-28,"Federal funds rate",0.12
"1658",2012-10-28,"Personal consumption expenditures (PCE)",1.7
"1659",2012-10-28,"PCE excluding food and energy",1.72
"1660",2012-10-28,"Gross domestic product (GDP)",2.5
"1661",2012-10-29,"Unemployment rate",7.8
"1662",2012-10-29,"Federal funds rate",0.12
"1663",2012-10-29,"Personal consumption expenditures (PCE)",1.7
"1664",2012-10-29,"PCE excluding food and energy",1.72
"1665",2012-10-29,"Gross domestic product (GDP)",2.5
"1666",2012-10-30,"Unemployment rate",7.8
"1667",2012-10-30,"Federal funds rate",0.12
"1668",2012-10-30,"Personal consumption expenditures (PCE)",1.7
"1669",2012-10-30,"PCE excluding food and energy",1.72
"1670",2012-10-30,"Gross domestic product (GDP)",2.5
"1671",2012-10-31,"Unemployment rate",7.8
"1672",2012-10-31,"Federal funds rate",0.12
"1673",2012-10-31,"Personal consumption expenditures (PCE)",1.99
"1674",2012-10-31,"PCE excluding food and energy",1.91
"1675",2012-10-31,"Gross domestic product (GDP)",2.5
"1676",2012-11-01,"Unemployment rate",7.8
"1677",2012-11-01,"Federal funds rate",0.12
"1678",2012-11-01,"Personal consumption expenditures (PCE)",1.99
"1679",2012-11-01,"PCE excluding food and energy",1.91
"1680",2012-11-01,"Gross domestic product (GDP)",2.5
"1681",2012-11-02,"Unemployment rate",7.8
"1682",2012-11-02,"Federal funds rate",0.12
"1683",2012-11-02,"Personal consumption expenditures (PCE)",1.99
"1684",2012-11-02,"PCE excluding food and energy",1.91
"1685",2012-11-02,"Gross domestic product (GDP)",2.5
"1686",2012-11-03,"Unemployment rate",7.8
"1687",2012-11-03,"Federal funds rate",0.12
"1688",2012-11-03,"Personal consumption expenditures (PCE)",1.99
"1689",2012-11-03,"PCE excluding food and energy",1.91
"1690",2012-11-03,"Gross domestic product (GDP)",2.5
"1691",2012-11-04,"Unemployment rate",7.8
"1692",2012-11-04,"Federal funds rate",0.12
"1693",2012-11-04,"Personal consumption expenditures (PCE)",1.99
"1694",2012-11-04,"PCE excluding food and energy",1.91
"1695",2012-11-04,"Gross domestic product (GDP)",2.5
"1696",2012-11-05,"Unemployment rate",7.8
"1697",2012-11-05,"Federal funds rate",0.12
"1698",2012-11-05,"Personal consumption expenditures (PCE)",1.99
"1699",2012-11-05,"PCE excluding food and energy",1.91
"1700",2012-11-05,"Gross domestic product (GDP)",2.5
"1701",2012-11-06,"Unemployment rate",7.8
"1702",2012-11-06,"Federal funds rate",0.12
"1703",2012-11-06,"Personal consumption expenditures (PCE)",1.99
"1704",2012-11-06,"PCE excluding food and energy",1.91
"1705",2012-11-06,"Gross domestic product (GDP)",2.5
"1706",2012-11-07,"Unemployment rate",7.8
"1707",2012-11-07,"Federal funds rate",0.12
"1708",2012-11-07,"Personal consumption expenditures (PCE)",1.99
"1709",2012-11-07,"PCE excluding food and energy",1.91
"1710",2012-11-07,"Gross domestic product (GDP)",2.5
"1711",2012-11-08,"Unemployment rate",7.8
"1712",2012-11-08,"Federal funds rate",0.12
"1713",2012-11-08,"Personal consumption expenditures (PCE)",1.99
"1714",2012-11-08,"PCE excluding food and energy",1.91
"1715",2012-11-08,"Gross domestic product (GDP)",2.5
"1716",2012-11-09,"Unemployment rate",7.8
"1717",2012-11-09,"Federal funds rate",0.12
"1718",2012-11-09,"Personal consumption expenditures (PCE)",1.99
"1719",2012-11-09,"PCE excluding food and energy",1.91
"1720",2012-11-09,"Gross domestic product (GDP)",2.5
"1721",2012-11-10,"Unemployment rate",7.8
"1722",2012-11-10,"Federal funds rate",0.12
"1723",2012-11-10,"Personal consumption expenditures (PCE)",1.99
"1724",2012-11-10,"PCE excluding food and energy",1.91
"1725",2012-11-10,"Gross domestic product (GDP)",2.5
"1726",2012-11-11,"Unemployment rate",7.8
"1727",2012-11-11,"Federal funds rate",0.12
"1728",2012-11-11,"Personal consumption expenditures (PCE)",1.99
"1729",2012-11-11,"PCE excluding food and energy",1.91
"1730",2012-11-11,"Gross domestic product (GDP)",2.5
"1731",2012-11-12,"Unemployment rate",7.8
"1732",2012-11-12,"Federal funds rate",0.12
"1733",2012-11-12,"Personal consumption expenditures (PCE)",1.99
"1734",2012-11-12,"PCE excluding food and energy",1.91
"1735",2012-11-12,"Gross domestic product (GDP)",2.5
"1736",2012-11-13,"Unemployment rate",7.8
"1737",2012-11-13,"Federal funds rate",0.12
"1738",2012-11-13,"Personal consumption expenditures (PCE)",1.99
"1739",2012-11-13,"PCE excluding food and energy",1.91
"1740",2012-11-13,"Gross domestic product (GDP)",2.5
"1741",2012-11-14,"Unemployment rate",7.8
"1742",2012-11-14,"Federal funds rate",0.12
"1743",2012-11-14,"Personal consumption expenditures (PCE)",1.99
"1744",2012-11-14,"PCE excluding food and energy",1.91
"1745",2012-11-14,"Gross domestic product (GDP)",2.5
"1746",2012-11-15,"Unemployment rate",7.8
"1747",2012-11-15,"Federal funds rate",0.12
"1748",2012-11-15,"Personal consumption expenditures (PCE)",1.99
"1749",2012-11-15,"PCE excluding food and energy",1.91
"1750",2012-11-15,"Gross domestic product (GDP)",2.5
"1751",2012-11-16,"Unemployment rate",7.8
"1752",2012-11-16,"Federal funds rate",0.12
"1753",2012-11-16,"Personal consumption expenditures (PCE)",1.99
"1754",2012-11-16,"PCE excluding food and energy",1.91
"1755",2012-11-16,"Gross domestic product (GDP)",2.5
"1756",2012-11-17,"Unemployment rate",7.8
"1757",2012-11-17,"Federal funds rate",0.12
"1758",2012-11-17,"Personal consumption expenditures (PCE)",1.99
"1759",2012-11-17,"PCE excluding food and energy",1.91
"1760",2012-11-17,"Gross domestic product (GDP)",2.5
"1761",2012-11-18,"Unemployment rate",7.8
"1762",2012-11-18,"Federal funds rate",0.12
"1763",2012-11-18,"Personal consumption expenditures (PCE)",1.99
"1764",2012-11-18,"PCE excluding food and energy",1.91
"1765",2012-11-18,"Gross domestic product (GDP)",2.5
"1766",2012-11-19,"Unemployment rate",7.8
"1767",2012-11-19,"Federal funds rate",0.12
"1768",2012-11-19,"Personal consumption expenditures (PCE)",1.99
"1769",2012-11-19,"PCE excluding food and energy",1.91
"1770",2012-11-19,"Gross domestic product (GDP)",2.5
"1771",2012-11-20,"Unemployment rate",7.8
"1772",2012-11-20,"Federal funds rate",0.12
"1773",2012-11-20,"Personal consumption expenditures (PCE)",1.99
"1774",2012-11-20,"PCE excluding food and energy",1.91
"1775",2012-11-20,"Gross domestic product (GDP)",2.5
"1776",2012-11-21,"Unemployment rate",7.8
"1777",2012-11-21,"Federal funds rate",0.12
"1778",2012-11-21,"Personal consumption expenditures (PCE)",1.99
"1779",2012-11-21,"PCE excluding food and energy",1.91
"1780",2012-11-21,"Gross domestic product (GDP)",2.5
"1781",2012-11-22,"Unemployment rate",7.8
"1782",2012-11-22,"Federal funds rate",0.12
"1783",2012-11-22,"Personal consumption expenditures (PCE)",1.99
"1784",2012-11-22,"PCE excluding food and energy",1.91
"1785",2012-11-22,"Gross domestic product (GDP)",2.5
"1786",2012-11-23,"Unemployment rate",7.8
"1787",2012-11-23,"Federal funds rate",0.12
"1788",2012-11-23,"Personal consumption expenditures (PCE)",1.99
"1789",2012-11-23,"PCE excluding food and energy",1.91
"1790",2012-11-23,"Gross domestic product (GDP)",2.5
"1791",2012-11-24,"Unemployment rate",7.8
"1792",2012-11-24,"Federal funds rate",0.12
"1793",2012-11-24,"Personal consumption expenditures (PCE)",1.99
"1794",2012-11-24,"PCE excluding food and energy",1.91
"1795",2012-11-24,"Gross domestic product (GDP)",2.5
"1796",2012-11-25,"Unemployment rate",7.8
"1797",2012-11-25,"Federal funds rate",0.12
"1798",2012-11-25,"Personal consumption expenditures (PCE)",1.99
"1799",2012-11-25,"PCE excluding food and energy",1.91
"1800",2012-11-25,"Gross domestic product (GDP)",2.5
"1801",2012-11-26,"Unemployment rate",7.8
"1802",2012-11-26,"Federal funds rate",0.12
"1803",2012-11-26,"Personal consumption expenditures (PCE)",1.99
"1804",2012-11-26,"PCE excluding food and energy",1.91
"1805",2012-11-26,"Gross domestic product (GDP)",2.5
"1806",2012-11-27,"Unemployment rate",7.8
"1807",2012-11-27,"Federal funds rate",0.12
"1808",2012-11-27,"Personal consumption expenditures (PCE)",1.99
"1809",2012-11-27,"PCE excluding food and energy",1.91
"1810",2012-11-27,"Gross domestic product (GDP)",2.5
"1811",2012-11-28,"Unemployment rate",7.8
"1812",2012-11-28,"Federal funds rate",0.12
"1813",2012-11-28,"Personal consumption expenditures (PCE)",1.99
"1814",2012-11-28,"PCE excluding food and energy",1.91
"1815",2012-11-28,"Gross domestic product (GDP)",2.5
"1816",2012-11-29,"Unemployment rate",7.8
"1817",2012-11-29,"Federal funds rate",0.12
"1818",2012-11-29,"Personal consumption expenditures (PCE)",1.99
"1819",2012-11-29,"PCE excluding food and energy",1.91
"1820",2012-11-29,"Gross domestic product (GDP)",2.5
"1821",2012-11-30,"Unemployment rate",7.7
"1822",2012-11-30,"Federal funds rate",0.12
"1823",2012-11-30,"Personal consumption expenditures (PCE)",1.72
"1824",2012-11-30,"PCE excluding food and energy",1.8
"1825",2012-11-30,"Gross domestic product (GDP)",2.5
"1826",2012-12-01,"Unemployment rate",7.7
"1827",2012-12-01,"Federal funds rate",0.12
"1828",2012-12-01,"Personal consumption expenditures (PCE)",1.72
"1829",2012-12-01,"PCE excluding food and energy",1.8
"1830",2012-12-01,"Gross domestic product (GDP)",2.5
"1831",2012-12-02,"Unemployment rate",7.7
"1832",2012-12-02,"Federal funds rate",0.12
"1833",2012-12-02,"Personal consumption expenditures (PCE)",1.72
"1834",2012-12-02,"PCE excluding food and energy",1.8
"1835",2012-12-02,"Gross domestic product (GDP)",2.5
"1836",2012-12-03,"Unemployment rate",7.7
"1837",2012-12-03,"Federal funds rate",0.12
"1838",2012-12-03,"Personal consumption expenditures (PCE)",1.72
"1839",2012-12-03,"PCE excluding food and energy",1.8
"1840",2012-12-03,"Gross domestic product (GDP)",2.5
"1841",2012-12-04,"Unemployment rate",7.7
"1842",2012-12-04,"Federal funds rate",0.12
"1843",2012-12-04,"Personal consumption expenditures (PCE)",1.72
"1844",2012-12-04,"PCE excluding food and energy",1.8
"1845",2012-12-04,"Gross domestic product (GDP)",2.5
"1846",2012-12-05,"Unemployment rate",7.7
"1847",2012-12-05,"Federal funds rate",0.12
"1848",2012-12-05,"Personal consumption expenditures (PCE)",1.72
"1849",2012-12-05,"PCE excluding food and energy",1.8
"1850",2012-12-05,"Gross domestic product (GDP)",2.5
"1851",2012-12-06,"Unemployment rate",7.7
"1852",2012-12-06,"Federal funds rate",0.12
"1853",2012-12-06,"Personal consumption expenditures (PCE)",1.72
"1854",2012-12-06,"PCE excluding food and energy",1.8
"1855",2012-12-06,"Gross domestic product (GDP)",2.5
"1856",2012-12-07,"Unemployment rate",7.7
"1857",2012-12-07,"Federal funds rate",0.12
"1858",2012-12-07,"Personal consumption expenditures (PCE)",1.72
"1859",2012-12-07,"PCE excluding food and energy",1.8
"1860",2012-12-07,"Gross domestic product (GDP)",2.5
"1861",2012-12-08,"Unemployment rate",7.7
"1862",2012-12-08,"Federal funds rate",0.12
"1863",2012-12-08,"Personal consumption expenditures (PCE)",1.72
"1864",2012-12-08,"PCE excluding food and energy",1.8
"1865",2012-12-08,"Gross domestic product (GDP)",2.5
"1866",2012-12-09,"Unemployment rate",7.7
"1867",2012-12-09,"Federal funds rate",0.12
"1868",2012-12-09,"Personal consumption expenditures (PCE)",1.72
"1869",2012-12-09,"PCE excluding food and energy",1.8
"1870",2012-12-09,"Gross domestic product (GDP)",2.5
"1871",2012-12-10,"Unemployment rate",7.7
"1872",2012-12-10,"Federal funds rate",0.12
"1873",2012-12-10,"Personal consumption expenditures (PCE)",1.72
"1874",2012-12-10,"PCE excluding food and energy",1.8
"1875",2012-12-10,"Gross domestic product (GDP)",2.5
"1876",2012-12-11,"Unemployment rate",7.7
"1877",2012-12-11,"Federal funds rate",0.12
"1878",2012-12-11,"Personal consumption expenditures (PCE)",1.72
"1879",2012-12-11,"PCE excluding food and energy",1.8
"1880",2012-12-11,"Gross domestic product (GDP)",2.5
"1881",2012-12-12,"Unemployment rate",7.7
"1882",2012-12-12,"Federal funds rate",0.12
"1883",2012-12-12,"Personal consumption expenditures (PCE)",1.72
"1884",2012-12-12,"PCE excluding food and energy",1.8
"1885",2012-12-12,"Gross domestic product (GDP)",2.5
"1886",2012-12-13,"Unemployment rate",7.7
"1887",2012-12-13,"Federal funds rate",0.12
"1888",2012-12-13,"Personal consumption expenditures (PCE)",1.72
"1889",2012-12-13,"PCE excluding food and energy",1.8
"1890",2012-12-13,"Gross domestic product (GDP)",2.5
"1891",2012-12-14,"Unemployment rate",7.7
"1892",2012-12-14,"Federal funds rate",0.12
"1893",2012-12-14,"Personal consumption expenditures (PCE)",1.72
"1894",2012-12-14,"PCE excluding food and energy",1.8
"1895",2012-12-14,"Gross domestic product (GDP)",2.5
"1896",2012-12-15,"Unemployment rate",7.7
"1897",2012-12-15,"Federal funds rate",0.12
"1898",2012-12-15,"Personal consumption expenditures (PCE)",1.72
"1899",2012-12-15,"PCE excluding food and energy",1.8
"1900",2012-12-15,"Gross domestic product (GDP)",2.5
"1901",2012-12-16,"Unemployment rate",7.7
"1902",2012-12-16,"Federal funds rate",0.12
"1903",2012-12-16,"Personal consumption expenditures (PCE)",1.72
"1904",2012-12-16,"PCE excluding food and energy",1.8
"1905",2012-12-16,"Gross domestic product (GDP)",2.5
"1906",2012-12-17,"Unemployment rate",7.7
"1907",2012-12-17,"Federal funds rate",0.12
"1908",2012-12-17,"Personal consumption expenditures (PCE)",1.72
"1909",2012-12-17,"PCE excluding food and energy",1.8
"1910",2012-12-17,"Gross domestic product (GDP)",2.5
"1911",2012-12-18,"Unemployment rate",7.7
"1912",2012-12-18,"Federal funds rate",0.12
"1913",2012-12-18,"Personal consumption expenditures (PCE)",1.72
"1914",2012-12-18,"PCE excluding food and energy",1.8
"1915",2012-12-18,"Gross domestic product (GDP)",2.5
"1916",2012-12-19,"Unemployment rate",7.7
"1917",2012-12-19,"Federal funds rate",0.12
"1918",2012-12-19,"Personal consumption expenditures (PCE)",1.72
"1919",2012-12-19,"PCE excluding food and energy",1.8
"1920",2012-12-19,"Gross domestic product (GDP)",2.5
"1921",2012-12-20,"Unemployment rate",7.7
"1922",2012-12-20,"Federal funds rate",0.12
"1923",2012-12-20,"Personal consumption expenditures (PCE)",1.72
"1924",2012-12-20,"PCE excluding food and energy",1.8
"1925",2012-12-20,"Gross domestic product (GDP)",2.5
"1926",2012-12-21,"Unemployment rate",7.7
"1927",2012-12-21,"Federal funds rate",0.12
"1928",2012-12-21,"Personal consumption expenditures (PCE)",1.72
"1929",2012-12-21,"PCE excluding food and energy",1.8
"1930",2012-12-21,"Gross domestic product (GDP)",2.5
"1931",2012-12-22,"Unemployment rate",7.7
"1932",2012-12-22,"Federal funds rate",0.12
"1933",2012-12-22,"Personal consumption expenditures (PCE)",1.72
"1934",2012-12-22,"PCE excluding food and energy",1.8
"1935",2012-12-22,"Gross domestic product (GDP)",2.5
"1936",2012-12-23,"Unemployment rate",7.7
"1937",2012-12-23,"Federal funds rate",0.12
"1938",2012-12-23,"Personal consumption expenditures (PCE)",1.72
"1939",2012-12-23,"PCE excluding food and energy",1.8
"1940",2012-12-23,"Gross domestic product (GDP)",2.5
"1941",2012-12-24,"Unemployment rate",7.7
"1942",2012-12-24,"Federal funds rate",0.12
"1943",2012-12-24,"Personal consumption expenditures (PCE)",1.72
"1944",2012-12-24,"PCE excluding food and energy",1.8
"1945",2012-12-24,"Gross domestic product (GDP)",2.5
"1946",2012-12-25,"Unemployment rate",7.7
"1947",2012-12-25,"Federal funds rate",0.12
"1948",2012-12-25,"Personal consumption expenditures (PCE)",1.72
"1949",2012-12-25,"PCE excluding food and energy",1.8
"1950",2012-12-25,"Gross domestic product (GDP)",2.5
"1951",2012-12-26,"Unemployment rate",7.7
"1952",2012-12-26,"Federal funds rate",0.12
"1953",2012-12-26,"Personal consumption expenditures (PCE)",1.72
"1954",2012-12-26,"PCE excluding food and energy",1.8
"1955",2012-12-26,"Gross domestic product (GDP)",2.5
"1956",2012-12-27,"Unemployment rate",7.7
"1957",2012-12-27,"Federal funds rate",0.12
"1958",2012-12-27,"Personal consumption expenditures (PCE)",1.72
"1959",2012-12-27,"PCE excluding food and energy",1.8
"1960",2012-12-27,"Gross domestic product (GDP)",2.5
"1961",2012-12-28,"Unemployment rate",7.7
"1962",2012-12-28,"Federal funds rate",0.12
"1963",2012-12-28,"Personal consumption expenditures (PCE)",1.72
"1964",2012-12-28,"PCE excluding food and energy",1.8
"1965",2012-12-28,"Gross domestic product (GDP)",2.5
"1966",2012-12-29,"Unemployment rate",7.7
"1967",2012-12-29,"Federal funds rate",0.12
"1968",2012-12-29,"Personal consumption expenditures (PCE)",1.72
"1969",2012-12-29,"PCE excluding food and energy",1.8
"1970",2012-12-29,"Gross domestic product (GDP)",2.5
"1971",2012-12-30,"Unemployment rate",7.7
"1972",2012-12-30,"Federal funds rate",0.12
"1973",2012-12-30,"Personal consumption expenditures (PCE)",1.72
"1974",2012-12-30,"PCE excluding food and energy",1.8
"1975",2012-12-30,"Gross domestic product (GDP)",2.5
"1976",2012-12-31,"Unemployment rate",7.9
"1977",2012-12-31,"Federal funds rate",0.12
"1978",2012-12-31,"Personal consumption expenditures (PCE)",1.65
"1979",2012-12-31,"PCE excluding food and energy",1.71
"1980",2012-12-31,"Gross domestic product (GDP)",1.5
"1981",2013-01-01,"Unemployment rate",7.9
"1982",2013-01-01,"Federal funds rate",0.12
"1983",2013-01-01,"Personal consumption expenditures (PCE)",1.65
"1984",2013-01-01,"PCE excluding food and energy",1.71
"1985",2013-01-01,"Gross domestic product (GDP)",1.5
"1986",2013-01-02,"Unemployment rate",7.9
"1987",2013-01-02,"Federal funds rate",0.12
"1988",2013-01-02,"Personal consumption expenditures (PCE)",1.65
"1989",2013-01-02,"PCE excluding food and energy",1.71
"1990",2013-01-02,"Gross domestic product (GDP)",1.5
"1991",2013-01-03,"Unemployment rate",7.9
"1992",2013-01-03,"Federal funds rate",0.12
"1993",2013-01-03,"Personal consumption expenditures (PCE)",1.65
"1994",2013-01-03,"PCE excluding food and energy",1.71
"1995",2013-01-03,"Gross domestic product (GDP)",1.5
"1996",2013-01-04,"Unemployment rate",7.9
"1997",2013-01-04,"Federal funds rate",0.12
"1998",2013-01-04,"Personal consumption expenditures (PCE)",1.65
"1999",2013-01-04,"PCE excluding food and energy",1.71
"2000",2013-01-04,"Gross domestic product (GDP)",1.5
"2001",2013-01-05,"Unemployment rate",7.9
"2002",2013-01-05,"Federal funds rate",0.12
"2003",2013-01-05,"Personal consumption expenditures (PCE)",1.65
"2004",2013-01-05,"PCE excluding food and energy",1.71
"2005",2013-01-05,"Gross domestic product (GDP)",1.5
"2006",2013-01-06,"Unemployment rate",7.9
"2007",2013-01-06,"Federal funds rate",0.12
"2008",2013-01-06,"Personal consumption expenditures (PCE)",1.65
"2009",2013-01-06,"PCE excluding food and energy",1.71
"2010",2013-01-06,"Gross domestic product (GDP)",1.5
"2011",2013-01-07,"Unemployment rate",7.9
"2012",2013-01-07,"Federal funds rate",0.12
"2013",2013-01-07,"Personal consumption expenditures (PCE)",1.65
"2014",2013-01-07,"PCE excluding food and energy",1.71
"2015",2013-01-07,"Gross domestic product (GDP)",1.5
"2016",2013-01-08,"Unemployment rate",7.9
"2017",2013-01-08,"Federal funds rate",0.12
"2018",2013-01-08,"Personal consumption expenditures (PCE)",1.65
"2019",2013-01-08,"PCE excluding food and energy",1.71
"2020",2013-01-08,"Gross domestic product (GDP)",1.5
"2021",2013-01-09,"Unemployment rate",7.9
"2022",2013-01-09,"Federal funds rate",0.12
"2023",2013-01-09,"Personal consumption expenditures (PCE)",1.65
"2024",2013-01-09,"PCE excluding food and energy",1.71
"2025",2013-01-09,"Gross domestic product (GDP)",1.5
"2026",2013-01-10,"Unemployment rate",7.9
"2027",2013-01-10,"Federal funds rate",0.12
"2028",2013-01-10,"Personal consumption expenditures (PCE)",1.65
"2029",2013-01-10,"PCE excluding food and energy",1.71
"2030",2013-01-10,"Gross domestic product (GDP)",1.5
"2031",2013-01-11,"Unemployment rate",7.9
"2032",2013-01-11,"Federal funds rate",0.12
"2033",2013-01-11,"Personal consumption expenditures (PCE)",1.65
"2034",2013-01-11,"PCE excluding food and energy",1.71
"2035",2013-01-11,"Gross domestic product (GDP)",1.5
"2036",2013-01-12,"Unemployment rate",7.9
"2037",2013-01-12,"Federal funds rate",0.12
"2038",2013-01-12,"Personal consumption expenditures (PCE)",1.65
"2039",2013-01-12,"PCE excluding food and energy",1.71
"2040",2013-01-12,"Gross domestic product (GDP)",1.5
"2041",2013-01-13,"Unemployment rate",7.9
"2042",2013-01-13,"Federal funds rate",0.12
"2043",2013-01-13,"Personal consumption expenditures (PCE)",1.65
"2044",2013-01-13,"PCE excluding food and energy",1.71
"2045",2013-01-13,"Gross domestic product (GDP)",1.5
"2046",2013-01-14,"Unemployment rate",7.9
"2047",2013-01-14,"Federal funds rate",0.12
"2048",2013-01-14,"Personal consumption expenditures (PCE)",1.65
"2049",2013-01-14,"PCE excluding food and energy",1.71
"2050",2013-01-14,"Gross domestic product (GDP)",1.5
"2051",2013-01-15,"Unemployment rate",7.9
"2052",2013-01-15,"Federal funds rate",0.12
"2053",2013-01-15,"Personal consumption expenditures (PCE)",1.65
"2054",2013-01-15,"PCE excluding food and energy",1.71
"2055",2013-01-15,"Gross domestic product (GDP)",1.5
"2056",2013-01-16,"Unemployment rate",7.9
"2057",2013-01-16,"Federal funds rate",0.12
"2058",2013-01-16,"Personal consumption expenditures (PCE)",1.65
"2059",2013-01-16,"PCE excluding food and energy",1.71
"2060",2013-01-16,"Gross domestic product (GDP)",1.5
"2061",2013-01-17,"Unemployment rate",7.9
"2062",2013-01-17,"Federal funds rate",0.12
"2063",2013-01-17,"Personal consumption expenditures (PCE)",1.65
"2064",2013-01-17,"PCE excluding food and energy",1.71
"2065",2013-01-17,"Gross domestic product (GDP)",1.5
"2066",2013-01-18,"Unemployment rate",7.9
"2067",2013-01-18,"Federal funds rate",0.12
