"variable","des","forecast_period","values","date"
"724","March projection","Range3","2020","2.4 - 3.4",20190619
"725","March projection","Range3","2021","2.4 - 3.6",20190619
"726","March projection","Range3","Longer run","2.5 - 3.5",20190619
"727","Change in real GDP","Median 1","2019","2.2",20190918
"728","Change in real GDP","Median 1","2020","2.0",20190918
"729","Change in real GDP","Median 1","2021","1.9",20190918
"730","Change in real GDP","Median 1","2022","1.8",20190918
"731","Change in real GDP","Median 1","Longer run","1.9",20190918
"732","Change in real GDP","Central Tendency 2","2019","2.1 - 2.3",20190918
"733","Change in real GDP","Central Tendency 2","2020","1.8 - 2.1",20190918
"734","Change in real GDP","Central Tendency 2","2021","1.8 - 2.0",20190918
"735","Change in real GDP","Central Tendency 2","2022","1.7 - 2.0",20190918
"736","Change in real GDP","Central Tendency 2","Longer run","1.8 - 2.0",20190918
"737","Change in real GDP","Range 3","2019","2.1 - 2.4",20190918
"738","Change in real GDP","Range 3","2020","1.7 - 2.3",20190918
"739","Change in real GDP","Range 3","2021","1.7 - 2.1",20190918
"740","Change in real GDP","Range 3","2022","1.6 - 2.1",20190918
"741","Change in real GDP","Range 3","Longer run","1.7 - 2.1",20190918
"742","June projection","Median 1","2019","2.1",20190918
"743","June projection","Median 1","2020","2.0",20190918
"744","June projection","Median 1","2021","1.8",20190918
"745","June projection","Median 1","2022","",20190918
"746","June projection","Median 1","Longer run","1.9",20190918
"747","June projection","Central Tendency 2","2019","2.0 - 2.2",20190918
"748","June projection","Central Tendency 2","2020","1.8 - 2.2",20190918
"749","June projection","Central Tendency 2","2021","1.8 - 2.0",20190918
"750","June projection","Central Tendency 2","2022","",20190918
"751","June projection","Central Tendency 2","Longer run","1.8 - 2.0",20190918
"752","June projection","Range 3","2019","2.0 - 2.4",20190918
"753","June projection","Range 3","2020","1.5 - 2.3",20190918
"754","June projection","Range 3","2021","1.5 - 2.1",20190918
"755","June projection","Range 3","2022","",20190918
"756","June projection","Range 3","Longer run","1.7 - 2.1",20190918
"757","Unemployment rate","Median 1","2019","3.7",20190918
"758","Unemployment rate","Median 1","2020","3.7",20190918
"759","Unemployment rate","Median 1","2021","3.8",20190918
"760","Unemployment rate","Median 1","2022","3.9",20190918
"761","Unemployment rate","Median 1","Longer run","4.2",20190918
"762","Unemployment rate","Central Tendency 2","2019","3.6 - 3.7",20190918
"763","Unemployment rate","Central Tendency 2","2020","3.6 - 3.8",20190918
"764","Unemployment rate","Central Tendency 2","2021","3.6 - 3.9",20190918
"765","Unemployment rate","Central Tendency 2","2022","3.7 - 4.0",20190918
"766","Unemployment rate","Central Tendency 2","Longer run","4.0 - 4.3",20190918
"767","Unemployment rate","Range 3","2019","3.5 - 3.8",20190918
"768","Unemployment rate","Range 3","2020","3.3 - 4.0",20190918
"769","Unemployment rate","Range 3","2021","3.3 - 4.1",20190918
"770","Unemployment rate","Range 3","2022","3.3 - 4.2",20190918
"771","Unemployment rate","Range 3","Longer run","3.6 - 4.5",20190918
"772","June projection","Median 1","2019","3.6",20190918
"773","June projection","Median 1","2020","3.7",20190918
"774","June projection","Median 1","2021","3.8",20190918
"775","June projection","Median 1","2022","",20190918
"776","June projection","Median 1","Longer run","4.2",20190918
"777","June projection","Central Tendency 2","2019","3.6 - 3.7",20190918
"778","June projection","Central Tendency 2","2020","3.5 - 3.9",20190918
"779","June projection","Central Tendency 2","2021","3.6 - 4.0",20190918
"780","June projection","Central Tendency 2","2022","",20190918
"781","June projection","Central Tendency 2","Longer run","4.0 - 4.4",20190918
"782","June projection","Range 3","2019","3.5 - 3.8",20190918
"783","June projection","Range 3","2020","3.3 - 4.0",20190918
"784","June projection","Range 3","2021","3.3 - 4.2",20190918
"785","June projection","Range 3","2022","",20190918
"786","June projection","Range 3","Longer run","3.6 - 4.5",20190918
"787","PCE inflation","Median 1","2019","1.5",20190918
"788","PCE inflation","Median 1","2020","1.9",20190918
"789","PCE inflation","Median 1","2021","2.0",20190918
"790","PCE inflation","Median 1","2022","2.0",20190918
"791","PCE inflation","Median 1","Longer run","2.0",20190918
"792","PCE inflation","Central Tendency 2","2019","1.5 - 1.6",20190918
"793","PCE inflation","Central Tendency 2","2020","1.8 - 2.0",20190918
"794","PCE inflation","Central Tendency 2","2021","2.0",20190918
"795","PCE inflation","Central Tendency 2","2022","2.0 - 2.2",20190918
"796","PCE inflation","Central Tendency 2","Longer run","2.0",20190918
"797","PCE inflation","Range 3","2019","1.4 - 1.7",20190918
"798","PCE inflation","Range 3","2020","1.7 - 2.1",20190918
"799","PCE inflation","Range 3","2021","1.8 - 2.3",20190918
"800","PCE inflation","Range 3","2022","1.8 - 2.2",20190918
"801","PCE inflation","Range 3","Longer run","2.0",20190918
"802","June projection","Median 1","2019","1.5",20190918
"803","June projection","Median 1","2020","1.9",20190918
"804","June projection","Median 1","2021","2.0",20190918
"805","June projection","Median 1","2022","",20190918
"806","June projection","Median 1","Longer run","2.0",20190918
"807","June projection","Central Tendency 2","2019","1.5 - 1.6",20190918
"808","June projection","Central Tendency 2","2020","1.9 - 2.0",20190918
"809","June projection","Central Tendency 2","2021","2.0 - 2.1",20190918
"810","June projection","Central Tendency 2","2022","",20190918
"811","June projection","Central Tendency 2","Longer run","2.0",20190918
"812","June projection","Range 3","2019","1.4 - 1.7",20190918
"813","June projection","Range 3","2020","1.8 - 2.1",20190918
"814","June projection","Range 3","2021","1.9 - 2.2",20190918
"815","June projection","Range 3","2022","",20190918
"816","June projection","Range 3","Longer run","2.0",20190918
"817","Core PCE inflation 4","Median 1","2019","1.8",20190918
"818","Core PCE inflation 4","Median 1","2020","1.9",20190918
"819","Core PCE inflation 4","Median 1","2021","2.0",20190918
"820","Core PCE inflation 4","Median 1","2022","2.0",20190918
"821","Core PCE inflation 4","Median 1","Longer run","",20190918
"822","Core PCE inflation 4","Central Tendency 2","2019","1.7 - 1.8",20190918
"823","Core PCE inflation 4","Central Tendency 2","2020","1.9 - 2.0",20190918
"824","Core PCE inflation 4","Central Tendency 2","2021","2.0",20190918
"825","Core PCE inflation 4","Central Tendency 2","2022","2.0 - 2.2",20190918
"826","Core PCE inflation 4","Central Tendency 2","Longer run","",20190918
"827","Core PCE inflation 4","Range 3","2019","1.6 - 1.8",20190918
"828","Core PCE inflation 4","Range 3","2020","1.7 - 2.1",20190918
"829","Core PCE inflation 4","Range 3","2021","1.8 - 2.3",20190918
"830","Core PCE inflation 4","Range 3","2022","1.8 - 2.2",20190918
"831","Core PCE inflation 4","Range 3","Longer run","",20190918
"832","June projection","Median 1","2019","1.8",20190918
"833","June projection","Median 1","2020","1.9",20190918
"834","June projection","Median 1","2021","2.0",20190918
"835","June projection","Median 1","2022","",20190918
"836","June projection","Median 1","Longer run","",20190918
"837","June projection","Central Tendency 2","2019","1.7 - 1.8",20190918
"838","June projection","Central Tendency 2","2020","1.9 - 2.0",20190918
"839","June projection","Central Tendency 2","2021","2.0 - 2.1",20190918
"840","June projection","Central Tendency 2","2022","",20190918
"841","June projection","Central Tendency 2","Longer run","",20190918
"842","June projection","Range 3","2019","1.4 - 1.8",20190918
"843","June projection","Range 3","2020","1.8 - 2.1",20190918
"844","June projection","Range 3","2021","1.8 - 2.2",20190918
"845","June projection","Range 3","2022","",20190918
"846","June projection","Range 3","Longer run","",20190918
"847","Memo: Projected appropriate policy path","Median 1","2019","Memo: Projected appropriate policy path",20190918
"848","Memo: Projected appropriate policy path","Median 1","2020","Memo: Projected appropriate policy path",20190918
"849","Memo: Projected appropriate policy path","Median 1","2021","Memo: Projected appropriate policy path",20190918
"850","Memo: Projected appropriate policy path","Median 1","2022","Memo: Projected appropriate policy path",20190918
"851","Memo: Projected appropriate policy path","Median 1","Longer run","Memo: Projected appropriate policy path",20190918
"852","Memo: Projected appropriate policy path","Central Tendency 2","2019","Memo: Projected appropriate policy path",20190918
"853","Memo: Projected appropriate policy path","Central Tendency 2","2020","Memo: Projected appropriate policy path",20190918
"854","Memo: Projected appropriate policy path","Central Tendency 2","2021","Memo: Projected appropriate policy path",20190918
"855","Memo: Projected appropriate policy path","Central Tendency 2","2022","Memo: Projected appropriate policy path",20190918
"856","Memo: Projected appropriate policy path","Central Tendency 2","Longer run","Memo: Projected appropriate policy path",20190918
"857","Memo: Projected appropriate policy path","Range 3","2019","Memo: Projected appropriate policy path",20190918
"858","Memo: Projected appropriate policy path","Range 3","2020","Memo: Projected appropriate policy path",20190918
"859","Memo: Projected appropriate policy path","Range 3","2021","Memo: Projected appropriate policy path",20190918
"860","Memo: Projected appropriate policy path","Range 3","2022","Memo: Projected appropriate policy path",20190918
"861","Memo: Projected appropriate policy path","Range 3","Longer run","Memo: Projected appropriate policy path",20190918
"862","Federal funds rate","Median 1","2019","1.9",20190918
"863","Federal funds rate","Median 1","2020","1.9",20190918
"864","Federal funds rate","Median 1","2021","2.1",20190918
"865","Federal funds rate","Median 1","2022","2.4",20190918
"866","Federal funds rate","Median 1","Longer run","2.5",20190918
"867","Federal funds rate","Central Tendency 2","2019","1.6 - 2.1",20190918
"868","Federal funds rate","Central Tendency 2","2020","1.6 - 2.1",20190918
"869","Federal funds rate","Central Tendency 2","2021","1.6 - 2.4",20190918
"870","Federal funds rate","Central Tendency 2","2022","1.9 - 2.6",20190918
"871","Federal funds rate","Central Tendency 2","Longer run","2.5 - 2.8",20190918
"872","Federal funds rate","Range 3","2019","1.6 - 2.1",20190918
"873","Federal funds rate","Range 3","2020","1.6 - 2.4",20190918
"874","Federal funds rate","Range 3","2021","1.6 - 2.6",20190918
"875","Federal funds rate","Range 3","2022","1.6 - 2.9",20190918
"876","Federal funds rate","Range 3","Longer run","2.0 - 3.3",20190918
"877","June projection","Median 1","2019","2.4",20190918
"878","June projection","Median 1","2020","2.1",20190918
"879","June projection","Median 1","2021","2.4",20190918
"880","June projection","Median 1","2022","",20190918
"881","June projection","Median 1","Longer run","2.5",20190918
"882","June projection","Central Tendency 2","2019","1.9 - 2.4",20190918
"883","June projection","Central Tendency 2","2020","1.9 - 2.4",20190918
"884","June projection","Central Tendency 2","2021","1.9 - 2.6",20190918
"885","June projection","Central Tendency 2","2022","",20190918
"886","June projection","Central Tendency 2","Longer run","2.5 - 3.0",20190918
"887","June projection","Range 3","2019","1.9 - 2.6",20190918
"888","June projection","Range 3","2020","1.9 - 3.1",20190918
"889","June projection","Range 3","2021","1.9 - 3.1",20190918
"890","June projection","Range 3","2022","",20190918
"891","June projection","Range 3","Longer run","2.4 - 3.3",20190918
"892","Change in real GDP","Median1","2019","2.2",20191211
"893","Change in real GDP","Median1","2020","2.0",20191211
"894","Change in real GDP","Median1","2021","1.9",20191211
"895","Change in real GDP","Median1","2022","1.8",20191211
"896","Change in real GDP","Median1","Longer run","1.9",20191211
"897","Change in real GDP","Central Tendency2","2019","2.1 - 2.2",20191211
"898","Change in real GDP","Central Tendency2","2020","2.0 - 2.2",20191211
"899","Change in real GDP","Central Tendency2","2021","1.8 - 2.0",20191211
"900","Change in real GDP","Central Tendency2","2022","1.8 - 2.0",20191211
"901","Change in real GDP","Central Tendency2","Longer run","1.8 - 2.0",20191211
"902","Change in real GDP","Range3","2019","2.1 - 2.3",20191211
"903","Change in real GDP","Range3","2020","1.8 - 2.3",20191211
"904","Change in real GDP","Range3","2021","1.7 - 2.2",20191211
"905","Change in real GDP","Range3","2022","1.5 - 2.2",20191211
"906","Change in real GDP","Range3","Longer run","1.7 - 2.2",20191211
"907","September projection","Median1","2019","2.2",20191211
"908","September projection","Median1","2020","2.0",20191211
"909","September projection","Median1","2021","1.9",20191211
"910","September projection","Median1","2022","1.8",20191211
"911","September projection","Median1","Longer run","1.9",20191211
"912","September projection","Central Tendency2","2019","2.1 - 2.3",20191211
"913","September projection","Central Tendency2","2020","1.8 - 2.1",20191211
"914","September projection","Central Tendency2","2021","1.8 - 2.0",20191211
"915","September projection","Central Tendency2","2022","1.7 - 2.0",20191211
"916","September projection","Central Tendency2","Longer run","1.8 - 2.0",20191211
"917","September projection","Range3","2019","2.1 - 2.4",20191211
"918","September projection","Range3","2020","1.7 - 2.3",20191211
"919","September projection","Range3","2021","1.7 - 2.1",20191211
"920","September projection","Range3","2022","1.6 - 2.1",20191211
"921","September projection","Range3","Longer run","1.7 - 2.1",20191211
"922","Unemployment rate","Median1","2019","3.6",20191211
"923","Unemployment rate","Median1","2020","3.5",20191211
"924","Unemployment rate","Median1","2021","3.6",20191211
"925","Unemployment rate","Median1","2022","3.7",20191211
"926","Unemployment rate","Median1","Longer run","4.1",20191211
"927","Unemployment rate","Central Tendency2","2019","3.5 - 3.6",20191211
"928","Unemployment rate","Central Tendency2","2020","3.5 - 3.7",20191211
"929","Unemployment rate","Central Tendency2","2021","3.5 - 3.9",20191211
"930","Unemployment rate","Central Tendency2","2022","3.5 - 4.0",20191211
"931","Unemployment rate","Central Tendency2","Longer run","3.9 - 4.3",20191211
"932","Unemployment rate","Range3","2019","3.5 - 3.6",20191211
"933","Unemployment rate","Range3","2020","3.3 - 3.8",20191211
"934","Unemployment rate","Range3","2021","3.3 - 4.0",20191211
"935","Unemployment rate","Range3","2022","3.3 - 4.1",20191211
"936","Unemployment rate","Range3","Longer run","3.5 - 4.5",20191211
"937","September projection","Median1","2019","3.7",20191211
"938","September projection","Median1","2020","3.7",20191211
"939","September projection","Median1","2021","3.8",20191211
"940","September projection","Median1","2022","3.9",20191211
"941","September projection","Median1","Longer run","4.2",20191211
"942","September projection","Central Tendency2","2019","3.6 - 3.7",20191211
"943","September projection","Central Tendency2","2020","3.6 - 3.8",20191211
"944","September projection","Central Tendency2","2021","3.6 - 3.9",20191211
"945","September projection","Central Tendency2","2022","3.7 - 4.0",20191211
"946","September projection","Central Tendency2","Longer run","4.0 - 4.3",20191211
"947","September projection","Range3","2019","3.5 - 3.8",20191211
"948","September projection","Range3","2020","3.3 - 4.0",20191211
"949","September projection","Range3","2021","3.3 - 4.1",20191211
"950","September projection","Range3","2022","3.3 - 4.2",20191211
"951","September projection","Range3","Longer run","3.6 - 4.5",20191211
"952","PCE inflation","Median1","2019","1.5",20191211
"953","PCE inflation","Median1","2020","1.9",20191211
"954","PCE inflation","Median1","2021","2.0",20191211
"955","PCE inflation","Median1","2022","2.0",20191211
"956","PCE inflation","Median1","Longer run","2.0",20191211
"957","PCE inflation","Central Tendency2","2019","1.4 - 1.5",20191211
"958","PCE inflation","Central Tendency2","2020","1.8 - 1.9",20191211
"959","PCE inflation","Central Tendency2","2021","2.0 - 2.1",20191211
"960","PCE inflation","Central Tendency2","2022","2.0 - 2.2",20191211
"961","PCE inflation","Central Tendency2","Longer run","2.0",20191211
"962","PCE inflation","Range3","2019","1.4 - 1.7",20191211
"963","PCE inflation","Range3","2020","1.7 - 2.1",20191211
"964","PCE inflation","Range3","2021","1.8 - 2.3",20191211
"965","PCE inflation","Range3","2022","1.8 - 2.2",20191211
"966","PCE inflation","Range3","Longer run","2.0",20191211
"967","September projection","Median1","2019","1.5",20191211
"968","September projection","Median1","2020","1.9",20191211
"969","September projection","Median1","2021","2.0",20191211
"970","September projection","Median1","2022","2.0",20191211
"971","September projection","Median1","Longer run","2.0",20191211
"972","September projection","Central Tendency2","2019","1.5 - 1.6",20191211
"973","September projection","Central Tendency2","2020","1.8 - 2.0",20191211
"974","September projection","Central Tendency2","2021","2.0",20191211
"975","September projection","Central Tendency2","2022","2.0 - 2.2",20191211
"976","September projection","Central Tendency2","Longer run","2.0",20191211
"977","September projection","Range3","2019","1.4 - 1.7",20191211
"978","September projection","Range3","2020","1.7 - 2.1",20191211
"979","September projection","Range3","2021","1.8 - 2.3",20191211
"980","September projection","Range3","2022","1.8 - 2.2",20191211
"981","September projection","Range3","Longer run","2.0",20191211
"982","Core PCE inflation4","Median1","2019","1.6",20191211
"983","Core PCE inflation4","Median1","2020","1.9",20191211
"984","Core PCE inflation4","Median1","2021","2.0",20191211
"985","Core PCE inflation4","Median1","2022","2.0",20191211
"986","Core PCE inflation4","Median1","Longer run","",20191211
"987","Core PCE inflation4","Central Tendency2","2019","1.6 - 1.7",20191211
"988","Core PCE inflation4","Central Tendency2","2020","1.9 - 2.0",20191211
"989","Core PCE inflation4","Central Tendency2","2021","2.0 - 2.1",20191211
"990","Core PCE inflation4","Central Tendency2","2022","2.0 - 2.2",20191211
"991","Core PCE inflation4","Central Tendency2","Longer run","",20191211
"992","Core PCE inflation4","Range3","2019","1.6 - 1.8",20191211
"993","Core PCE inflation4","Range3","2020","1.7 - 2.1",20191211
"994","Core PCE inflation4","Range3","2021","1.8 - 2.3",20191211
"995","Core PCE inflation4","Range3","2022","1.8 - 2.2",20191211
"996","Core PCE inflation4","Range3","Longer run","",20191211
"997","September projection","Median1","2019","1.8",20191211
"998","September projection","Median1","2020","1.9",20191211
"999","September projection","Median1","2021","2.0",20191211
"1000","September projection","Median1","2022","2.0",20191211
"1001","September projection","Median1","Longer run","",20191211
"1002","September projection","Central Tendency2","2019","1.7 - 1.8",20191211
"1003","September projection","Central Tendency2","2020","1.9 - 2.0",20191211
"1004","September projection","Central Tendency2","2021","2.0",20191211
"1005","September projection","Central Tendency2","2022","2.0 - 2.2",20191211
"1006","September projection","Central Tendency2","Longer run","",20191211
"1007","September projection","Range3","2019","1.6 - 1.8",20191211
"1008","September projection","Range3","2020","1.7 - 2.1",20191211
"1009","September projection","Range3","2021","1.8 - 2.3",20191211
"1010","September projection","Range3","2022","1.8 - 2.2",20191211
"1011","September projection","Range3","Longer run","",20191211
"1012","Memo: Projected appropriate policy path","Median1","2019","Memo: Projected appropriate policy path",20191211
"1013","Memo: Projected appropriate policy path","Median1","2020","Memo: Projected appropriate policy path",20191211
"1014","Memo: Projected appropriate policy path","Median1","2021","Memo: Projected appropriate policy path",20191211
"1015","Memo: Projected appropriate policy path","Median1","2022","Memo: Projected appropriate policy path",20191211
"1016","Memo: Projected appropriate policy path","Median1","Longer run","Memo: Projected appropriate policy path",20191211
"1017","Memo: Projected appropriate policy path","Central Tendency2","2019","Memo: Projected appropriate policy path",20191211
"1018","Memo: Projected appropriate policy path","Central Tendency2","2020","Memo: Projected appropriate policy path",20191211
"1019","Memo: Projected appropriate policy path","Central Tendency2","2021","Memo: Projected appropriate policy path",20191211
"1020","Memo: Projected appropriate policy path","Central Tendency2","2022","Memo: Projected appropriate policy path",20191211
"1021","Memo: Projected appropriate policy path","Central Tendency2","Longer run","Memo: Projected appropriate policy path",20191211
"1022","Memo: Projected appropriate policy path","Range3","2019","Memo: Projected appropriate policy path",20191211
"1023","Memo: Projected appropriate policy path","Range3","2020","Memo: Projected appropriate policy path",20191211
"1024","Memo: Projected appropriate policy path","Range3","2021","Memo: Projected appropriate policy path",20191211
"1025","Memo: Projected appropriate policy path","Range3","2022","Memo: Projected appropriate policy path",20191211
"1026","Memo: Projected appropriate policy path","Range3","Longer run","Memo: Projected appropriate policy path",20191211
"1027","Federal funds rate","Median1","2019","1.6",20191211
"1028","Federal funds rate","Median1","2020","1.6",20191211
"1029","Federal funds rate","Median1","2021","1.9",20191211
"1030","Federal funds rate","Median1","2022","2.1",20191211
"1031","Federal funds rate","Median1","Longer run","2.5",20191211
"1032","Federal funds rate","Central Tendency2","2019","1.6",20191211
"1033","Federal funds rate","Central Tendency2","2020","1.6 - 1.9",20191211
"1034","Federal funds rate","Central Tendency2","2021","1.6 - 2.1",20191211
"1035","Federal funds rate","Central Tendency2","2022","1.9 - 2.6",20191211
"1036","Federal funds rate","Central Tendency2","Longer run","2.4 - 2.8",20191211
"1037","Federal funds rate","Range3","2019","1.6",20191211
"1038","Federal funds rate","Range3","2020","1.6 - 1.9",20191211
"1039","Federal funds rate","Range3","2021","1.6 - 2.4",20191211
"1040","Federal funds rate","Range3","2022","1.6 - 2.9",20191211
"1041","Federal funds rate","Range3","Longer run","2.0 - 3.3",20191211
"1042","September projection","Median1","2019","1.9",20191211
"1043","September projection","Median1","2020","1.9",20191211
"1044","September projection","Median1","2021","2.1",20191211
"1045","September projection","Median1","2022","2.4",20191211
"1046","September projection","Median1","Longer run","2.5",20191211
"1047","September projection","Central Tendency2","2019","1.6 - 2.1",20191211
"1048","September projection","Central Tendency2","2020","1.6 - 2.1",20191211
"1049","September projection","Central Tendency2","2021","1.6 - 2.4",20191211
"1050","September projection","Central Tendency2","2022","1.9 - 2.6",20191211
"1051","September projection","Central Tendency2","Longer run","2.5 - 2.8",20191211
"1052","September projection","Range3","2019","1.6 - 2.1",20191211
"1053","September projection","Range3","2020","1.6 - 2.4",20191211
"1054","September projection","Range3","2021","1.6 - 2.6",20191211
"1055","September projection","Range3","2022","1.6 - 2.9",20191211
"1056","September projection","Range3","Longer run","2.0 - 3.3",20191211
"1057","Change in real GDP","Median1","2018","2.7",20180321
"1058","Change in real GDP","Median1","2019","2.4",20180321
"1059","Change in real GDP","Median1","2020","2.0",20180321
"1060","Change in real GDP","Median1","Longer run","1.8",20180321
"1061","Change in real GDP","Central tendency2","2018","2.6 - 3.0",20180321
"1062","Change in real GDP","Central tendency2","2019","2.2 - 2.6",20180321
"1063","Change in real GDP","Central tendency2","2020","1.8 - 2.1",20180321
"1064","Change in real GDP","Central tendency2","Longer run","1.8 - 2.0",20180321
"1065","Change in real GDP","Range3","2018","2.5 - 3.0",20180321
"1066","Change in real GDP","Range3","2019","2.0 - 2.8",20180321
"1067","Change in real GDP","Range3","2020","1.5 - 2.3",20180321
"1068","Change in real GDP","Range3","Longer run","1.7 - 2.2",20180321
"1069","December projection","Median1","2018","2.5",20180321
"1070","December projection","Median1","2019","2.1",20180321
"1071","December projection","Median1","2020","2.0",20180321
"1072","December projection","Median1","Longer run","1.8",20180321
"1073","December projection","Central tendency2","2018","2.2 - 2.6",20180321
"1074","December projection","Central tendency2","2019","1.9 - 2.3",20180321
"1075","December projection","Central tendency2","2020","1.7 - 2.0",20180321
"1076","December projection","Central tendency2","Longer run","1.8 - 1.9",20180321
"1077","December projection","Range3","2018","2.2 - 2.8",20180321
"1078","December projection","Range3","2019","1.7 - 2.4",20180321
"1079","December projection","Range3","2020","1.1 - 2.2",20180321
"1080","December projection","Range3","Longer run","1.7 - 2.2",20180321
"1081","Unemployment rate","Median1","2018","3.8",20180321
"1082","Unemployment rate","Median1","2019","3.6",20180321
"1083","Unemployment rate","Median1","2020","3.6",20180321
"1084","Unemployment rate","Median1","Longer run","4.5",20180321
"1085","Unemployment rate","Central tendency2","2018","3.6 - 3.8",20180321
"1086","Unemployment rate","Central tendency2","2019","3.4 - 3.7",20180321
"1087","Unemployment rate","Central tendency2","2020","3.5 - 3.8",20180321
"1088","Unemployment rate","Central tendency2","Longer run","4.3 - 4.7",20180321
"1089","Unemployment rate","Range3","2018","3.6 - 4.0",20180321
"1090","Unemployment rate","Range3","2019","3.3 - 4.2",20180321
"1091","Unemployment rate","Range3","2020","3.3 - 4.4",20180321
"1092","Unemployment rate","Range3","Longer run","4.2 - 4.8",20180321
"1093","December projection","Median1","2018","3.9",20180321
"1094","December projection","Median1","2019","3.9",20180321
"1095","December projection","Median1","2020","4.0",20180321
"1096","December projection","Median1","Longer run","4.6",20180321
"1097","December projection","Central tendency2","2018","3.7 - 4.0",20180321
"1098","December projection","Central tendency2","2019","3.6 - 4.0",20180321
"1099","December projection","Central tendency2","2020","3.6 - 4.2",20180321
"1100","December projection","Central tendency2","Longer run","4.4 - 4.7",20180321
"1101","December projection","Range3","2018","3.6 - 4.0",20180321
"1102","December projection","Range3","2019","3.5 - 4.2",20180321
"1103","December projection","Range3","2020","3.5 - 4.5",20180321
"1104","December projection","Range3","Longer run","4.3 - 5.0",20180321
"1105","PCE inflation","Median1","2018","1.9",20180321
"1106","PCE inflation","Median1","2019","2.0",20180321
"1107","PCE inflation","Median1","2020","2.1",20180321
"1108","PCE inflation","Median1","Longer run","2.0",20180321
"1109","PCE inflation","Central tendency2","2018","1.8 - 2.0",20180321
"1110","PCE inflation","Central tendency2","2019","2.0 - 2.2",20180321
"1111","PCE inflation","Central tendency2","2020","2.1 - 2.2",20180321
"1112","PCE inflation","Central tendency2","Longer run","2.0",20180321
"1113","PCE inflation","Range3","2018","1.8 - 2.1",20180321
"1114","PCE inflation","Range3","2019","1.9 - 2.3",20180321
"1115","PCE inflation","Range3","2020","2.0 - 2.3",20180321
"1116","PCE inflation","Range3","Longer run","2.0",20180321
"1117","December projection","Median1","2018","1.9",20180321
"1118","December projection","Median1","2019","2.0",20180321
"1119","December projection","Median1","2020","2.0",20180321
"1120","December projection","Median1","Longer run","2.0",20180321
"1121","December projection","Central tendency2","2018","1.7 - 1.9",20180321
"1122","December projection","Central tendency2","2019","2.0",20180321
"1123","December projection","Central tendency2","2020","2.0 - 2.1",20180321
"1124","December projection","Central tendency2","Longer run","2.0",20180321
"1125","December projection","Range3","2018","1.7 - 2.1",20180321
"1126","December projection","Range3","2019","1.8 - 2.3",20180321
"1127","December projection","Range3","2020","1.9 - 2.2",20180321
"1128","December projection","Range3","Longer run","2.0",20180321
"1129","Core PCE inflation4","Median1","2018","1.9",20180321
"1130","Core PCE inflation4","Median1","2019","2.1",20180321
"1131","Core PCE inflation4","Median1","2020","2.1",20180321
"1132","Core PCE inflation4","Median1","Longer run","",20180321
"1133","Core PCE inflation4","Central tendency2","2018","1.8 - 2.0",20180321
"1134","Core PCE inflation4","Central tendency2","2019","2.0 - 2.2",20180321
"1135","Core PCE inflation4","Central tendency2","2020","2.1 - 2.2",20180321
"1136","Core PCE inflation4","Central tendency2","Longer run","",20180321
"1137","Core PCE inflation4","Range3","2018","1.8 - 2.1",20180321
"1138","Core PCE inflation4","Range3","2019","1.9 - 2.3",20180321
"1139","Core PCE inflation4","Range3","2020","2.0 - 2.3",20180321
"1140","Core PCE inflation4","Range3","Longer run","",20180321
"1141","December projection","Median1","2018","1.9",20180321
"1142","December projection","Median1","2019","2.0",20180321
"1143","December projection","Median1","2020","2.0",20180321
"1144","December projection","Median1","Longer run","",20180321
"1145","December projection","Central tendency2","2018","1.7 - 1.9",20180321
"1146","December projection","Central tendency2","2019","2.0",20180321
"1147","December projection","Central tendency2","2020","2.0 - 2.1",20180321
"1148","December projection","Central tendency2","Longer run","",20180321
"1149","December projection","Range3","2018","1.7 - 2.0",20180321
"1150","December projection","Range3","2019","1.8 - 2.3",20180321
"1151","December projection","Range3","2020","1.9 - 2.3",20180321
"1152","December projection","Range3","Longer run","",20180321
"1153","Memo: Projected appropriate policy path","Median1","2018","Memo: Projected appropriate policy path",20180321
"1154","Memo: Projected appropriate policy path","Median1","2019","Memo: Projected appropriate policy path",20180321
"1155","Memo: Projected appropriate policy path","Median1","2020","Memo: Projected appropriate policy path",20180321
"1156","Memo: Projected appropriate policy path","Median1","Longer run","Memo: Projected appropriate policy path",20180321
"1157","Memo: Projected appropriate policy path","Central tendency2","2018","Memo: Projected appropriate policy path",20180321
"1158","Memo: Projected appropriate policy path","Central tendency2","2019","Memo: Projected appropriate policy path",20180321
"1159","Memo: Projected appropriate policy path","Central tendency2","2020","Memo: Projected appropriate policy path",20180321
"1160","Memo: Projected appropriate policy path","Central tendency2","Longer run","Memo: Projected appropriate policy path",20180321
"1161","Memo: Projected appropriate policy path","Range3","2018","Memo: Projected appropriate policy path",20180321
"1162","Memo: Projected appropriate policy path","Range3","2019","Memo: Projected appropriate policy path",20180321
"1163","Memo: Projected appropriate policy path","Range3","2020","Memo: Projected appropriate policy path",20180321
"1164","Memo: Projected appropriate policy path","Range3","Longer run","Memo: Projected appropriate policy path",20180321
"1165","Federal funds rate","Median1","2018","2.1",20180321
"1166","Federal funds rate","Median1","2019","2.9",20180321
"1167","Federal funds rate","Median1","2020","3.4",20180321
"1168","Federal funds rate","Median1","Longer run","2.9",20180321
"1169","Federal funds rate","Central tendency2","2018","2.1 - 2.4",20180321
"1170","Federal funds rate","Central tendency2","2019","2.8 - 3.4",20180321
